number,value,params_batch_size,params_brightness,params_color_jitter,params_contrast,params_dropout_p,params_freeze_backbone,params_horizontal_flip_p,params_lr,params_n_splits,params_optimizer,params_rotation_degrees,params_saturation,params_weight_decay,user_attrs_mean_accuracy,user_attrs_mean_best_epoch,user_attrs_mean_best_val_loss,user_attrs_mean_macro_f1,user_attrs_mean_macro_precision,user_attrs_mean_macro_recall,user_attrs_std_accuracy,user_attrs_std_macro_f1,user_attrs_std_macro_precision,user_attrs_std_macro_recall,state
0,0.3,4,0.045851127463358454,True,0.07606056073988443,0.12904180608409974,True,0.48495492608099716,1.981150700813797e-05,5,AdamW,13,0.10495128632644757,3.7758875456826846e-06,0.3,4.2,1.1092852036158245,0.2782347282347282,0.2911111111111111,0.3,0.1728036779443977,0.18325101221745235,0.2143131963564705,0.1728036779443977,COMPLETE
1,0.3,8,0.2372213843133333,True,0.24140800826863984,0.32803499210851794,True,0.023225206359998862,3.5973074355814775e-05,5,Adam,9,0.16167946962329224,2.265486450485178e-05,0.3,3.8,1.1153134942054748,0.24735264735264736,0.2333862433862434,0.3,0.12638125740085918,0.1538019867207624,0.18969399119019242,0.12638125740085918,COMPLETE
2,0.44999999999999996,8,0.19378320584027864,False,0.23487473539104728,0.1171942605576092,True,0.2600340105889054,1.7070637605872354e-05,4,AdamW,8,0.17896547008552977,6.786479434196529e-05,0.44999999999999996,7.5,1.0876759365200996,0.4252164502164502,0.4414021164021164,0.45,0.09999999999999998,0.1242529815651141,0.13250324246394302,0.09999999999999996,COMPLETE
3,0.3833333333333333,4,0.24672173415012932,True,0.19306119232416435,0.29433864484474104,False,0.27134804157912423,1.2191905861905936e-05,6,AdamW,2,0.03974313630683449,1.5973023661305582e-05,0.3833333333333333,5.333333333333333,1.1084798839357166,0.3405643738977073,0.34074074074074073,0.3888888888888889,0.13291601358251257,0.13514843997512907,0.18874722356445983,0.1314684396244359,COMPLETE
4,0.26666666666666666,4,0.15938936783880328,False,0.22180318564408164,0.27923286427213634,False,0.03177917514301182,0.0002936275990998268,3,AdamW,4,0.09444298503238986,1.878836314623419e-06,0.26666666666666666,1.6666666666666667,1.1271362384160362,0.24865011531678197,0.25885040885040883,0.25925925925925924,0.17559422921421233,0.15183647174463252,0.15522323551082512,0.17101900908882522,COMPLETE
5,0.2833333333333333,8,0.062323057287218736,False,0.10259573075890743,0.36136641469099706,True,0.3182052056318902,0.0002932377783221689,3,AdamW,5,0.15111022770860974,6.707104906311695e-05,0.2833333333333333,1.3333333333333333,1.1322137514750164,0.22591181321831477,0.18974358974358974,0.291005291005291,0.05773502691896256,0.05571279722990921,0.047564697702483866,0.05850091107803171,COMPLETE
6,0.4,8,0.02751298113191919,True,0.05698379063548542,0.41670187825521177,True,0.26967112095782536,0.0005878930054101001,4,Adam,12,0.08542155772525127,0.0009754680378833336,0.4,2.5,1.0861013233661652,0.38919090169090165,0.40813492063492063,0.39999999999999997,0.19626135258506328,0.18668026456368692,0.18943983387681707,0.19626135258506325,COMPLETE
7,0.23412698412698413,4,0.06294557395634104,True,0.12431212647309636,0.1599326836668414,False,0.3515094794475889,6.228316885164778e-05,7,Adam,5,0.06017566196335394,6.630864123680927e-06,0.23412698412698413,2.7142857142857144,1.1290761998721532,0.22588813303099017,0.24841269841269842,0.23809523809523808,0.09769349120885065,0.11708707288195576,0.17721886348013927,0.104990131391452,COMPLETE
8,0.3833333333333334,8,0.1820540871529649,True,0.0919457831798133,0.5541329429833268,True,0.1210276357557502,1.253050851760497e-05,4,Adam,10,0.1264611661187159,1.0732599242723978e-05,0.3833333333333334,5.5,1.094552755355835,0.37781986531986533,0.381547619047619,0.3833333333333333,0.1261979632400061,0.12443741561123253,0.126979786632172,0.12619796324000604,COMPLETE
9,0.4166666666666667,12,0.09668383657513435,False,0.23418249718418363,0.12038757077738196,False,0.11324788759896898,4.0782451621555166e-05,6,Adam,10,0.027504188829198653,4.896957955177836e-06,0.4166666666666667,6.333333333333333,1.078131377696991,0.38258377425044093,0.3731481481481482,0.4212962962962963,0.0983192080250175,0.10236384974888554,0.12354919381437125,0.10155681172737971,COMPLETE
10,0.3861607142857143,12,0.11867212923858318,False,0.0051256803197448075,0.5812181096282867,True,0.475382597007194,9.679910472779373e-05,8,AdamW,15,0.1831275941557748,0.0028087559799886176,0.3861607142857143,4.875,1.0949872732162476,0.3265873015873016,0.3320436507936507,0.3680555555555555,0.19325768590994075,0.17894166708008263,0.20456974649037996,0.1729949382995025,COMPLETE
11,0.39999999999999997,12,0.11333701134731587,False,0.17750160049824315,0.10234453460427845,False,0.1667914106709448,3.501179258308275e-05,6,Adam,8,0.006717176986894446,0.00017617992337037628,0.39999999999999997,2.1666666666666665,1.115696946779887,0.3465167548500882,0.3337301587301587,0.40740740740740744,0.0632455532033676,0.07809502600067748,0.0994869048814081,0.0695369753908096,COMPLETE
12,0.3683035714285714,12,0.18245870738292536,False,0.1721865169804464,0.20044483236563618,False,0.163344501286644,9.519464007687498e-05,8,AdamW,7,0.195138804668391,0.00024044933762998314,0.3683035714285714,1.75,1.1165480464696884,0.32728174603174603,0.3368055555555555,0.36111111111111105,0.1484668673956776,0.1559495320344699,0.17782582436059116,0.14547859349066158,COMPLETE
13,0.3333333333333333,12,0.112137014222519,False,0.2457963109677451,0.20777163931188136,False,0.09660956277259602,3.08707802057234e-05,6,Adam,0,0.02122120048303375,5.3945434650040514e-05,0.3333333333333333,6.166666666666667,1.0969197948773701,0.3179453262786596,0.33994708994708994,0.34722222222222227,0.051639777949432246,0.06374166473116308,0.09562575424248222,0.04564354645876385,COMPLETE
14,0.36666666666666664,8,0.0032948035952308913,False,0.2119410408859633,0.22412738588811326,True,0.24973969385052416,6.609268113742881e-05,4,AdamW,11,0.06421410158455987,1.1949745475803216e-06,0.36666666666666664,3.5,1.092722088098526,0.3554066304066304,0.39265873015873015,0.36666666666666664,0.13877773329774218,0.12349950642702355,0.11723330880788754,0.13877773329774215,COMPLETE
15,0.38333333333333336,12,0.21114210824629331,False,0.15103963737529977,0.16793952471516468,False,0.4074148086203425,2.2262308316548376e-05,5,Adam,7,0.1290866351512053,0.0002558952027674686,0.38333333333333336,4.6,1.0799947023391723,0.3717989417989418,0.4155555555555555,0.38333333333333336,0.0950146187582615,0.10220761751136485,0.12585509990794772,0.0950146187582615,COMPLETE
16,0.375,12,0.14335404165197374,False,0.21134101153846643,0.10501423805011055,False,0.2051102112946549,5.3733426174203026e-05,7,Adam,15,0.03844428588471246,6.625851416472187e-05,0.375,6.285714285714286,1.0924619606563024,0.35306122448979593,0.35634920634920636,0.38095238095238093,0.21620915608954847,0.20970732532147948,0.22246349336215768,0.2137952450816386,COMPLETE
17,0.29761904761904756,8,0.08757129152636421,False,0.24543116858063546,0.25146613886313973,True,0.07632681833114555,1.0361635538195509e-05,7,AdamW,13,0.00016190200386314094,0.0010029475767610446,0.29761904761904756,6.714285714285714,1.1324508019856043,0.27596371882086174,0.3063492063492063,0.3095238095238095,0.14739183600720748,0.1577993304225586,0.2314169222142694,0.1566664790422532,COMPLETE
18,0.3499999999999999,12,0.20773455754369033,False,0.1474243398903748,0.16269855893282387,True,0.20514260220901084,1.9512729488137576e-05,3,AdamW,9,0.162683491511798,3.2229222182876477e-06,0.3499999999999999,10.666666666666666,1.1062329411506653,0.33620943708663004,0.363023088023088,0.3465608465608465,0.05000000000000002,0.0639607640767975,0.07988628379131907,0.05574419975054356,COMPLETE
19,0.2666666666666667,8,0.16350955515391377,False,0.20268665144312312,0.4642662294323798,False,0.37865738307168034,0.00018682015833695922,5,Adam,6,0.12920434449888835,0.004970002386365428,0.2666666666666667,3.2,1.1257451832294465,0.25952861952861955,0.26952380952380955,0.2666666666666667,0.18066236157232332,0.18672354602484773,0.19605070276570208,0.18066236157232332,COMPLETE
