fold,n_train,n_val,best_epoch,best_val_loss,accuracy,macro_precision,macro_recall,macro_f1
1,45,15,9,1.1966679096221924,0.13333333333333333,0.07407407407407407,0.13333333333333333,0.09523809523809523
2,45,15,1,1.0481465458869934,0.6,0.611111111111111,0.6,0.5847578347578347
3,45,15,12,1.1326091289520264,0.2,0.17857142857142858,0.20000000000000004,0.1851851851851852
4,45,15,4,1.1555749773979187,0.26666666666666666,0.18333333333333335,0.26666666666666666,0.2074074074074074
