class_or_average,precision,recall,f1-score,support
Negative,0.28,0.35,0.3111111111111111,20.0
Neutral,0.4090909090909091,0.45,0.42857142857142855,20.0
Positive,0.15384615384615385,0.1,0.12121212121212122,20.0
accuracy,0.3,0.3,0.3,0.3
macro avg,0.280979020979021,0.3,0.286964886964887,60.0
weighted avg,0.28097902097902094,0.3,0.286964886964887,60.0
