"metric","model","term","estimate_log_scale","standard_error","z_value","p_value","ci_95_lower","ci_95_upper","rate_ratio","approximate_percent_change"
"fixation_count","Null","(Intercept)",3.80341144002599,0.0195313849572348,194.733320159005,0,3.76513062894162,3.84169225111035,44.8539403138038,4385.39403138038
"fixation_count","Original emotion","(Intercept)",3.80418566048851,0.0200544650638468,189.69270176877,0,3.76487963123415,3.84349168974287,44.8886805988039,4388.86805988039
"fixation_count","Original emotion","original_emotionNegative",-0.0102294733115723,0.00797665059902605,-1.28242715217103,0.199692844417769,-0.0258634212029233,0.00540447457977856,0.989822669800225,-1.01773301997754
"fixation_count","Original emotion","original_emotionPositive",0.00796958459360149,0.00795618051062776,1.00168473841887,0.316495879906953,-0.00762424266172841,0.0235634118489314,1.00800142626499,0.800142626498901
"fixation_count","Reported emotion","(Intercept)",3.80325036243598,0.0198273537181627,191.818354405613,0,3.76438946323964,3.84211126163231,44.8467159310542,4384.67159310542
"fixation_count","Reported emotion","response_emotionNegative",0.0112982684175982,0.0118600381388897,0.952633396730029,0.340775849939722,-0.0119469791898971,0.0345435160250936,1.011362334905,1.13623349049985
"fixation_count","Reported emotion","response_emotionPositive",-0.00290609068787315,0.00804143017320391,-0.361389780832392,0.717808086264111,-0.0186670042115465,0.0128548228358002,0.997098127906141,-0.29018720938585
"fixation_count","Combined","(Intercept)",3.80469964556174,0.0203774662999915,186.711124413113,0,3.76476054551758,3.8446387456059,44.9117586409651,4391.17586409651
"fixation_count","Combined","original_emotionNegative",-0.0102339432587301,0.00798095362294885,-1.282295793488,0.199738903031382,-0.0258763249219943,0.00540843840453408,0.989818245355084,-1.01817546449164
"fixation_count","Combined","original_emotionPositive",0.00758040516792858,0.00796926760055751,0.951204746518774,0.341500449411294,-0.00803907231232606,0.0231998826481832,1.0076092091752,0.760920917519914
"fixation_count","Combined","response_emotionNegative",0.00921142600076756,0.0118951966915067,0.774381982884283,0.438704935037041,-0.0141027311036057,0.0325255831051408,1.00925398175127,0.925398175127001
"fixation_count","Combined","response_emotionPositive",-0.00375842261489298,0.00805000753036073,-0.466884360134824,0.640582615484988,-0.0195361474496762,0.0120193022198903,0.996248631415274,-0.375136858472624
"dwell_time_s","Null","(Intercept)",-0.0447145729645499,0.0220108796814025,-2.03147596151418,0.0422067356276338,-0.0878551044081432,-0.00157404152095666,0.956270388305827,-4.37296116941728
"dwell_time_s","Original emotion","(Intercept)",-0.0421561343345574,0.0223648184998144,-1.88493076010911,0.05943918652844,-0.0859903731149688,0.001678104445854,0.95872007976439,-4.12799202356102
"dwell_time_s","Original emotion","original_emotionNegative",-0.00494193797107695,0.00686281806528235,-0.720103305095212,0.471461392716476,-0.0183928142114812,0.0085089382693273,0.995070253313253,-0.492974668674695
"dwell_time_s","Original emotion","original_emotionPositive",-0.00270481375232007,0.00687459326637991,-0.39345073192154,0.693986605968228,-0.0161787689627862,0.0107691414581461,0.997298840960549,-0.270115903945112
"dwell_time_s","Reported emotion","(Intercept)",-0.0438949350808715,0.0222298512105505,-1.97459419161737,0.0483142187460096,-0.0874646428352346,-0.000325227326508339,0.957054505045117,-4.2945494954883
"dwell_time_s","Reported emotion","response_emotionNegative",-0.00219678929323381,0.00938136445190398,-0.234165222393419,0.814856712985811,-0.0205839257448099,0.0161903471583423,0.997805621882427,-0.21943781175725
"dwell_time_s","Reported emotion","response_emotionPositive",-0.00149097516073747,0.00626844257343618,-0.237854162859493,0.811994208017094,-0.01377689684383,0.010794946522355,0.998510135790525,-0.148986420947472
"dwell_time_s","Combined","(Intercept)",-0.0412750958182992,0.0225819431707041,-1.82779203305435,0.0675807693661938,-0.0855348911338094,0.00298469949721111,0.959565121283373,-4.04348787166267
"dwell_time_s","Combined","original_emotionNegative",-0.00500620207959592,0.00686246856961344,-0.729504554929847,0.465693082548601,-0.0184563933210764,0.00844398916188452,0.995006308065224,-0.499369193477561
"dwell_time_s","Combined","original_emotionPositive",-0.00262521656960967,0.00687919846526945,-0.3816166349704,0.702745743522409,-0.016108197804041,0.0108577646648217,0.997378226297992,-0.262177370200767
"dwell_time_s","Combined","response_emotionNegative",-0.00233846576647408,0.00940343663704586,-0.248682035806084,0.803606745736694,-0.0207688629059884,0.0160919313730402,0.997664266314556,-0.233573368544449
"dwell_time_s","Combined","response_emotionPositive",-0.00162368268931813,0.00627274625515894,-0.258847181644364,0.795753152415765,-0.0139180394335881,0.0106706740549519,0.998377634770278,-0.162236522972226
"mean_fixation_duration_ms","Null","(Intercept)",0.00677390111871276,0.0123262703644055,0.549549938339316,0.582628103537085,-0.0173851448592253,0.0309329470966509,1.00679689587898,0.679689587898413
"mean_fixation_duration_ms","Original emotion","(Intercept)",0.00899420757455767,0.0131840995213635,0.682201128714438,0.495111781071223,-0.0168461526559066,0.0348345678050219,1.00903477699823,0.903477699822575
"mean_fixation_duration_ms","Original emotion","original_emotionNegative",0.00428143951357565,0.00822742130257793,0.520386565379134,0.602794171897816,-0.0118440099251147,0.020406888952266,1.00429061797006,0.429061797005703
"mean_fixation_duration_ms","Original emotion","original_emotionPositive",-0.0109453381841935,0.00823060339611737,-1.32983423661948,0.183572892945431,-0.0270770244116166,0.00518634804322965,0.989114344083789,-1.08856559162108
"mean_fixation_duration_ms","Reported emotion","(Intercept)",0.00716403501530158,0.0124299205903745,0.576354045322646,0.564375899395573,-0.0171981616725252,0.0315262317031283,1.0071897581045,0.718975810449951
"mean_fixation_duration_ms","Reported emotion","response_emotionNegative",-0.00522695366729974,0.00542604301522379,-0.963308557015587,0.335392700318248,-0.0158618025557035,0.00540789522110401,0.994786683085117,-0.521331691488292
"mean_fixation_duration_ms","Reported emotion","response_emotionPositive",0.00053783772855707,0.0036488872462013,0.147397738616613,0.882818090350712,-0.00661384985764501,0.00768952531475914,1.0005379823892,0.0537982389201774
"mean_fixation_duration_ms","Combined","(Intercept)",0.00925663802941383,0.0132742037161664,0.697340362355622,0.485589814224179,-0.0167603231777201,0.0352735992365477,1.00929961320274,0.929961320274186
"mean_fixation_duration_ms","Combined","original_emotionNegative",0.00424962193634404,0.00818686284446301,0.519078188688378,0.603706217693936,-0.0117963343851726,0.0202955782578607,1.0042586643841,0.425866438410227
"mean_fixation_duration_ms","Combined","original_emotionPositive",-0.0107560501189497,0.00819149030256646,-1.31307609746907,0.189157307261472,-0.0268110760916891,0.00529897585378964,0.989301589345373,-1.06984106546268
"mean_fixation_duration_ms","Combined","response_emotionNegative",-0.00496672814495051,0.00542369686050744,-0.915745896699291,0.359800186331085,-0.015596978654608,0.00566352236470703,0.995045585654416,-0.495441434558386
"mean_fixation_duration_ms","Combined","response_emotionPositive",0.000657634381884615,0.00364678162084365,0.180332811300195,0.856891298202395,-0.00648992625445153,0.00780519501822076,1.00065785067079,0.0657850670785054
"fixation_density_per_megapixel","Null","(Intercept)",0.214727466486678,0.0801934765426661,2.67761762856651,0.00741478117333007,0.0575511406679948,0.371903792305361,1.23952403908814,23.9524039088136
"fixation_density_per_megapixel","Original emotion","(Intercept)",0.149119055603035,0.134163869674964,1.11146954813023,0.266366290634943,-0.113837296986419,0.41207540819249,1.1608111820579,16.0811182057896
"fixation_density_per_megapixel","Original emotion","original_emotionNegative",-0.010922230314434,0.187651075358539,-0.0582049971926101,0.953585340288779,-0.378711579677381,0.356867119048513,0.989137200673312,-1.0862799326688
"fixation_density_per_megapixel","Original emotion","original_emotionPositive",0.207755222288673,0.187651438470472,1.10713365153001,0.268236148135962,-0.160034838760586,0.575545283337932,1.23091183288882,23.0911832888824
"fixation_density_per_megapixel","Reported emotion","(Intercept)",0.215701621192919,0.0802578374519071,2.68760818932075,0.00719657848173871,0.058399150310111,0.373004092075726,1.24073211559548,24.0732115595483
"fixation_density_per_megapixel","Reported emotion","response_emotionNegative",-0.00084023790521229,0.00904738305348745,-0.0928708224516267,0.926006185852697,-0.0185727828443857,0.0168923070339611,0.999160114995809,-0.0839885004190855
"fixation_density_per_megapixel","Reported emotion","response_emotionPositive",-0.0022886247834683,0.00610522266545015,-0.374863442150894,0.707762028718266,-0.0142546413253482,0.00967739175841163,0.99771399212148,-0.22860078785204
"fixation_density_per_megapixel","Combined","(Intercept)",0.150110874949557,0.134209932120863,1.11847813777578,0.263362838619955,-0.1129357583749,0.413157508274014,1.16196306818296,16.1963068182965
"fixation_density_per_megapixel","Combined","original_emotionNegative",-0.0109910195367471,0.187667667155663,-0.0585663993341511,0.953297474171678,-0.378812888224498,0.356830849151004,0.98906916103474,-1.09308389652596
"fixation_density_per_megapixel","Combined","original_emotionPositive",0.207776514076067,0.187668208439661,1.10714817285034,0.268229870797465,-0.160046415508825,0.575599443660959,1.23093804148088,23.0938041480883
"fixation_density_per_megapixel","Combined","response_emotionNegative",-0.000857172792464595,0.0090473696761081,-0.0947427620569301,0.924519151512371,-0.0185896915124563,0.0168753459275271,0.999143194475189,-0.0856805524811266
"fixation_density_per_megapixel","Combined","response_emotionPositive",-0.00229500624067511,0.0061052087138307,-0.375909546790107,0.706984142880612,-0.0142609954378834,0.00967098295653317,0.997707625272649,-0.229237472735089
