world_index,world_timestamp,surface_name,event_type
0,138473.486255,Surface 1,enter
26,138474.476529,Surface 1,exit
480,138489.754054,Surface 1,enter
480,138489.754054,Surface 1,exit
516,138490.934762,Surface 1,enter
686,138497.18239099998,Surface 1,exit
984,138507.71123299998,Surface 1,enter
2953,138573.761917,Surface 1,exit
3027,138576.241905,Surface 1,enter
3027,138576.241905,Surface 1,exit
3030,138576.34202399998,Surface 1,enter
3030,138576.34202399998,Surface 1,exit
3032,138576.410022,Surface 1,enter
3032,138576.410022,Surface 1,exit
3036,138576.54213299998,Surface 1,enter
3038,138576.609936,Surface 1,exit
3040,138576.67790399998,Surface 1,enter
3074,138577.81774899998,Surface 1,exit
3084,138578.150081,Surface 1,enter
3775,138601.30591999998,Surface 1,exit
3779,138601.441913,Surface 1,enter
3779,138601.441913,Surface 1,exit
3783,138601.573858,Surface 1,enter
3783,138601.573858,Surface 1,exit
3786,138601.673923,Surface 1,enter
3793,138601.909842,Surface 1,exit
3801,138602.178124,Surface 1,enter
3807,138602.377945,Surface 1,exit
3812,138602.546082,Surface 1,enter
3816,138602.681812,Surface 1,exit
3824,138602.94984699998,Surface 1,enter
3827,138603.05003699998,Surface 1,exit
3831,138603.181958,Surface 1,enter
3831,138603.181958,Surface 1,exit
3833,138603.250142,Surface 1,enter
3833,138603.250142,Surface 1,exit
3837,138603.38589499998,Surface 1,enter
3837,138603.38589499998,Surface 1,exit
3839,138603.45017199998,Surface 1,enter
3903,138605.598102,Surface 1,exit
3985,138608.345837,Surface 1,enter
4784,138635.205235,Surface 1,exit
5228,138650.17668099998,Surface 1,enter
5277,138652.845947,Surface 1,exit
5576,138663.58691699998,Surface 1,enter
5659,138666.535936,Surface 1,exit
5957,138677.135825,Surface 1,enter
33635,139615.198936,Surface 1,exit
