ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,2.78,1,Positivo,Negativo,906_orig_1037.jpg
2,2.32,1,Positivo,Negativo,1420_orig_1915.jpg
3,2.81,1,Positivo,Neutral,790_orig_889.jpg
4,3.34,1,Positivo,Positivo,51_orig_50.jpg
5,5.96,1,Positivo,Positivo,77_orig_76.jpg
6,4.48,3,Neutral,Negativo,1150_orig_1386.jpg
7,3.82,3,Neutral,Neutral,811_orig_910.jpg
8,3.25,3,Neutral,Neutral,859_orig_958.jpg
9,3.36,3,Neutral,Negativo,584_orig_683.jpg
10,4.09,3,Neutral,Positivo,91_orig_90.jpg
11,3.02,3,Neutral,Positivo,272_orig_271.jpg
12,2.37,1,Positivo,Negativo,796_orig_895.jpg
13,2.73,3,Neutral,Negativo,41_orig_40.jpg
14,3.11,1,Positivo,Neutral,336_orig_435.jpg
15,4.41,3,Neutral,Negativo,361_orig_460.jpg
16,3.27,3,Neutral,Neutral,640_orig_739.jpg
17,3.63,3,Neutral,Positivo,1123_orig_1359.jpg
18,2.94,3,Neutral,Negativo,1292_orig_1629.jpg
19,4.09,3,Neutral,Neutral,722_orig_821.jpg
20,3.88,3,Neutral,Positivo,1134_orig_1370.jpg
21,3.17,3,Neutral,Negativo,324_orig_423.jpg
22,3.46,3,Neutral,Positivo,33_orig_32.jpg
23,4.81,2,Negativo,Neutral,873_orig_972.jpg
24,3.47,3,Neutral,Negativo,1322_orig_1659.jpg
25,3.13,3,Neutral,Neutral,130_orig_129.jpg
26,3.39,1,Positivo,Negativo,184_orig_183.jpg
27,3.33,1,Positivo,Positivo,105_orig_104.jpg
28,3.02,2,Negativo,Neutral,262_orig_261.jpg
29,2.66,3,Neutral,Negativo,198_orig_197.jpg
30,3.11,1,Positivo,Neutral,746_orig_845.jpg
31,3.47,3,Neutral,Positivo,82_orig_81.jpg
32,3.25,3,Neutral,Negativo,292_orig_291.jpg
33,3.32,3,Neutral,Negativo,916_orig_1094.jpg
34,2.67,3,Neutral,Negativo,251_orig_250.jpg
35,3.69,3,Neutral,Neutral,573_orig_672.jpg
36,2.77,3,Neutral,Positivo,58_orig_57.jpg
37,2.93,3,Neutral,Negativo,760_orig_859.jpg
38,2.24,3,Neutral,Neutral,246_orig_245.jpg
39,2.44,3,Neutral,Negativo,432_orig_531.jpg
40,3.57,1,Positivo,Neutral,779_orig_878.jpg
41,2.68,3,Neutral,Positivo,5_orig_4.jpg
42,2.86,1,Positivo,Neutral,420_orig_519.jpg
43,2.66,3,Neutral,Neutral,850_orig_949.jpg
44,3.50,3,Neutral,Positivo,1120_orig_1356.jpg
45,3.34,1,Positivo,Negativo,264_orig_263.jpg
46,2.75,3,Neutral,Negativo,87_orig_86.jpg
47,3.10,3,Neutral,Positivo,1155_orig_1391.jpg
48,2.64,3,Neutral,Negativo,704_orig_803.jpg
49,2.41,3,Neutral,Neutral,726_orig_825.jpg
50,3.53,1,Positivo,Neutral,250_orig_249.jpg
51,3.16,3,Neutral,Positivo,153_orig_152.jpg
52,2.73,3,Neutral,Neutral,831_orig_930.jpg
53,4.03,3,Neutral,Positivo,26_orig_25.jpg
54,3.50,1,Positivo,Positivo,71_orig_70.jpg
55,4.31,3,Neutral,Positivo,76_orig_75.jpg
56,3.42,1,Positivo,Positivo,78_orig_77.jpg
57,4.61,3,Neutral,Neutral,423_orig_522.jpg
58,3.57,3,Neutral,Positivo,10_orig_9.jpg
59,3.20,3,Neutral,Positivo,205_orig_204.jpg
60,3.18,3,Neutral,Neutral,1054_orig_1290.jpg
