ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,10.01,NR,NO RESPONDE,Negativo,906_orig_1037.jpg
2,4.37,1,Positivo,Negativo,1420_orig_1915.jpg
3,5.60,1,Positivo,Neutral,790_orig_889.jpg
4,7.51,1,Positivo,Positivo,51_orig_50.jpg
5,7.67,2,Negativo,Positivo,77_orig_76.jpg
6,8.90,1,Positivo,Negativo,1150_orig_1386.jpg
7,9.01,1,Positivo,Neutral,811_orig_910.jpg
8,8.28,1,Positivo,Neutral,859_orig_958.jpg
9,9.05,1,Positivo,Negativo,584_orig_683.jpg
10,8.73,1,Positivo,Positivo,91_orig_90.jpg
11,9.43,1,Positivo,Positivo,272_orig_271.jpg
12,5.60,1,Positivo,Negativo,796_orig_895.jpg
13,6.98,1,Positivo,Negativo,41_orig_40.jpg
14,8.26,1,Positivo,Neutral,336_orig_435.jpg
15,7.92,1,Positivo,Negativo,361_orig_460.jpg
16,8.94,1,Positivo,Neutral,640_orig_739.jpg
17,7.86,1,Positivo,Positivo,1123_orig_1359.jpg
18,6.64,1,Positivo,Negativo,1292_orig_1629.jpg
19,6.94,1,Positivo,Neutral,722_orig_821.jpg
20,9.77,2,Negativo,Positivo,1134_orig_1370.jpg
21,9.21,1,Positivo,Negativo,324_orig_423.jpg
22,9.21,1,Positivo,Positivo,33_orig_32.jpg
23,7.63,1,Positivo,Neutral,873_orig_972.jpg
24,7.38,1,Positivo,Negativo,1322_orig_1659.jpg
25,8.36,1,Positivo,Neutral,130_orig_129.jpg
26,7.76,1,Positivo,Negativo,184_orig_183.jpg
27,8.94,1,Positivo,Positivo,105_orig_104.jpg
28,8.89,1,Positivo,Neutral,262_orig_261.jpg
29,6.38,2,Negativo,Negativo,198_orig_197.jpg
30,4.75,1,Positivo,Neutral,746_orig_845.jpg
31,9.00,1,Positivo,Positivo,82_orig_81.jpg
32,8.76,1,Positivo,Negativo,292_orig_291.jpg
33,8.32,1,Positivo,Negativo,916_orig_1094.jpg
34,9.10,1,Positivo,Negativo,251_orig_250.jpg
35,7.94,1,Positivo,Neutral,573_orig_672.jpg
36,8.14,1,Positivo,Positivo,58_orig_57.jpg
37,7.85,1,Positivo,Negativo,760_orig_859.jpg
38,6.77,1,Positivo,Neutral,246_orig_245.jpg
39,7.46,1,Positivo,Negativo,432_orig_531.jpg
40,8.35,1,Positivo,Neutral,779_orig_878.jpg
41,7.40,1,Positivo,Positivo,5_orig_4.jpg
42,9.09,1,Positivo,Neutral,420_orig_519.jpg
43,6.72,1,Positivo,Neutral,850_orig_949.jpg
44,7.10,1,Positivo,Positivo,1120_orig_1356.jpg
45,7.73,1,Positivo,Negativo,264_orig_263.jpg
46,6.63,1,Positivo,Negativo,87_orig_86.jpg
47,9.05,1,Positivo,Positivo,1155_orig_1391.jpg
48,8.74,2,Negativo,Negativo,704_orig_803.jpg
49,7.79,1,Positivo,Neutral,726_orig_825.jpg
50,8.89,1,Positivo,Neutral,250_orig_249.jpg
51,6.94,1,Positivo,Positivo,153_orig_152.jpg
52,8.18,1,Positivo,Neutral,831_orig_930.jpg
53,7.88,1,Positivo,Positivo,26_orig_25.jpg
54,7.68,1,Positivo,Positivo,71_orig_70.jpg
55,6.61,1,Positivo,Positivo,76_orig_75.jpg
56,6.78,1,Positivo,Positivo,78_orig_77.jpg
57,9.65,3,Neutral,Neutral,423_orig_522.jpg
58,9.21,1,Positivo,Positivo,10_orig_9.jpg
59,10.01,NR,NO RESPONDE,Positivo,205_orig_204.jpg
60,9.12,1,Positivo,Neutral,1054_orig_1290.jpg
