ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,10.01,NR,NO RESPONDE,Negativo,906_orig_1037.jpg
2,5.74,1,Positivo,Negativo,1420_orig_1915.jpg
3,3.00,3,Neutral,Neutral,790_orig_889.jpg
4,3.19,1,Positivo,Positivo,51_orig_50.jpg
5,4.10,3,Neutral,Positivo,77_orig_76.jpg
6,3.00,1,Positivo,Negativo,1150_orig_1386.jpg
7,7.53,3,Neutral,Neutral,811_orig_910.jpg
8,4.93,1,Positivo,Neutral,859_orig_958.jpg
9,3.04,3,Neutral,Negativo,584_orig_683.jpg
10,2.16,1,Positivo,Positivo,91_orig_90.jpg
11,5.24,3,Neutral,Positivo,272_orig_271.jpg
12,3.31,1,Positivo,Negativo,796_orig_895.jpg
13,4.62,1,Positivo,Negativo,41_orig_40.jpg
14,3.25,1,Positivo,Neutral,336_orig_435.jpg
15,5.24,1,Positivo,Negativo,361_orig_460.jpg
16,6.12,3,Neutral,Neutral,640_orig_739.jpg
17,5.12,3,Neutral,Positivo,1123_orig_1359.jpg
18,5.29,3,Neutral,Negativo,1292_orig_1629.jpg
19,3.15,1,Positivo,Neutral,722_orig_821.jpg
20,6.36,1,Positivo,Positivo,1134_orig_1370.jpg
21,4.17,3,Neutral,Negativo,324_orig_423.jpg
22,3.46,1,Positivo,Positivo,33_orig_32.jpg
23,5.01,1,Positivo,Neutral,873_orig_972.jpg
24,4.04,1,Positivo,Negativo,1322_orig_1659.jpg
25,2.92,3,Neutral,Neutral,130_orig_129.jpg
26,3.43,1,Positivo,Negativo,184_orig_183.jpg
27,3.42,1,Positivo,Positivo,105_orig_104.jpg
28,4.35,3,Neutral,Neutral,262_orig_261.jpg
29,2.67,1,Positivo,Negativo,198_orig_197.jpg
30,4.30,1,Positivo,Neutral,746_orig_845.jpg
31,4.45,3,Neutral,Positivo,82_orig_81.jpg
32,2.76,1,Positivo,Negativo,292_orig_291.jpg
33,5.39,3,Neutral,Negativo,916_orig_1094.jpg
34,4.65,1,Positivo,Negativo,251_orig_250.jpg
35,4.91,3,Neutral,Neutral,573_orig_672.jpg
36,4.19,3,Neutral,Positivo,58_orig_57.jpg
37,7.66,1,Positivo,Negativo,760_orig_859.jpg
38,4.71,1,Positivo,Neutral,246_orig_245.jpg
39,3.15,1,Positivo,Negativo,432_orig_531.jpg
40,5.09,3,Neutral,Neutral,779_orig_878.jpg
41,3.90,3,Neutral,Positivo,5_orig_4.jpg
42,2.10,1,Positivo,Neutral,420_orig_519.jpg
43,4.76,3,Neutral,Neutral,850_orig_949.jpg
44,4.86,3,Neutral,Positivo,1120_orig_1356.jpg
45,2.57,1,Positivo,Negativo,264_orig_263.jpg
46,2.80,1,Positivo,Negativo,87_orig_86.jpg
47,5.96,3,Neutral,Positivo,1155_orig_1391.jpg
48,4.12,3,Neutral,Negativo,704_orig_803.jpg
49,2.37,1,Positivo,Neutral,726_orig_825.jpg
50,3.34,1,Positivo,Neutral,250_orig_249.jpg
51,4.00,3,Neutral,Positivo,153_orig_152.jpg
52,5.41,1,Positivo,Neutral,831_orig_930.jpg
53,4.94,1,Positivo,Positivo,26_orig_25.jpg
54,4.00,1,Positivo,Positivo,71_orig_70.jpg
55,4.73,2,Negativo,Positivo,76_orig_75.jpg
56,3.60,1,Positivo,Positivo,78_orig_77.jpg
57,4.23,2,Negativo,Neutral,423_orig_522.jpg
58,3.76,3,Neutral,Positivo,10_orig_9.jpg
59,2.98,1,Positivo,Positivo,205_orig_204.jpg
60,3.61,1,Positivo,Neutral,1054_orig_1290.jpg
