ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,5.10,3,Neutral,Negativo,906_orig_1037.jpg
2,10.01,NR,NO RESPONDE,Negativo,1420_orig_1915.jpg
3,8.71,1,Positivo,Neutral,790_orig_889.jpg
4,6.18,2,Negativo,Positivo,51_orig_50.jpg
5,2.97,1,Positivo,Positivo,77_orig_76.jpg
6,10.01,NR,NO RESPONDE,Negativo,1150_orig_1386.jpg
7,3.77,1,Positivo,Neutral,811_orig_910.jpg
8,10.01,2,Negativo,Neutral,859_orig_958.jpg
9,6.28,1,Positivo,Negativo,584_orig_683.jpg
10,7.42,2,Negativo,Positivo,91_orig_90.jpg
11,9.73,1,Positivo,Positivo,272_orig_271.jpg
12,9.14,1,Positivo,Negativo,796_orig_895.jpg
13,7.42,1,Positivo,Negativo,41_orig_40.jpg
14,6.73,2,Negativo,Neutral,336_orig_435.jpg
15,5.15,2,Negativo,Negativo,361_orig_460.jpg
16,5.70,2,Negativo,Neutral,640_orig_739.jpg
17,6.41,1,Positivo,Positivo,1123_orig_1359.jpg
18,4.32,2,Negativo,Negativo,1292_orig_1629.jpg
19,10.01,NR,NO RESPONDE,Neutral,722_orig_821.jpg
20,4.72,2,Negativo,Positivo,1134_orig_1370.jpg
21,5.23,1,Positivo,Negativo,324_orig_423.jpg
22,3.65,1,Positivo,Positivo,33_orig_32.jpg
23,5.78,2,Negativo,Neutral,873_orig_972.jpg
24,5.63,1,Positivo,Negativo,1322_orig_1659.jpg
25,6.93,2,Negativo,Neutral,130_orig_129.jpg
26,6.64,1,Positivo,Negativo,184_orig_183.jpg
27,9.17,2,Negativo,Positivo,105_orig_104.jpg
28,6.08,1,Positivo,Neutral,262_orig_261.jpg
29,5.73,1,Positivo,Negativo,198_orig_197.jpg
30,3.66,1,Positivo,Neutral,746_orig_845.jpg
31,3.29,1,Positivo,Positivo,82_orig_81.jpg
32,5.45,1,Positivo,Negativo,292_orig_291.jpg
33,9.51,2,Negativo,Negativo,916_orig_1094.jpg
34,4.56,1,Positivo,Negativo,251_orig_250.jpg
35,9.21,2,Negativo,Neutral,573_orig_672.jpg
36,4.95,1,Positivo,Positivo,58_orig_57.jpg
37,9.68,1,Positivo,Negativo,760_orig_859.jpg
38,5.34,1,Positivo,Neutral,246_orig_245.jpg
39,5.87,1,Positivo,Negativo,432_orig_531.jpg
40,8.60,2,Negativo,Neutral,779_orig_878.jpg
41,6.25,2,Negativo,Positivo,5_orig_4.jpg
42,8.49,1,Positivo,Neutral,420_orig_519.jpg
43,8.30,1,Positivo,Neutral,850_orig_949.jpg
44,5.50,1,Positivo,Positivo,1120_orig_1356.jpg
45,8.98,2,Negativo,Negativo,264_orig_263.jpg
46,8.41,1,Positivo,Negativo,87_orig_86.jpg
47,5.52,1,Positivo,Positivo,1155_orig_1391.jpg
48,8.85,2,Negativo,Negativo,704_orig_803.jpg
49,8.71,2,Negativo,Neutral,726_orig_825.jpg
50,4.81,1,Positivo,Neutral,250_orig_249.jpg
51,4.89,1,Positivo,Positivo,153_orig_152.jpg
52,6.69,1,Positivo,Neutral,831_orig_930.jpg
53,4.42,1,Positivo,Positivo,26_orig_25.jpg
54,4.04,1,Positivo,Positivo,71_orig_70.jpg
55,8.12,1,Positivo,Positivo,76_orig_75.jpg
56,8.88,3,Neutral,Positivo,78_orig_77.jpg
57,10.01,NR,NO RESPONDE,Neutral,423_orig_522.jpg
58,9.45,2,Negativo,Positivo,10_orig_9.jpg
59,10.01,NR,NO RESPONDE,Positivo,205_orig_204.jpg
60,6.92,1,Positivo,Neutral,1054_orig_1290.jpg
