ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,3.14,1,Positivo,Negativo,906_orig_1037.jpg
2,4.16,1,Positivo,Negativo,1420_orig_1915.jpg
3,4.33,3,Neutral,Neutral,790_orig_889.jpg
4,4.60,3,Neutral,Positivo,51_orig_50.jpg
5,5.44,1,Positivo,Positivo,77_orig_76.jpg
6,5.61,1,Positivo,Negativo,1150_orig_1386.jpg
7,7.48,1,Positivo,Neutral,811_orig_910.jpg
8,6.68,3,Neutral,Neutral,859_orig_958.jpg
9,7.00,1,Positivo,Negativo,584_orig_683.jpg
10,5.49,2,Negativo,Positivo,91_orig_90.jpg
11,5.59,1,Positivo,Positivo,272_orig_271.jpg
12,3.87,1,Positivo,Negativo,796_orig_895.jpg
13,5.03,2,Negativo,Negativo,41_orig_40.jpg
14,5.80,2,Negativo,Neutral,336_orig_435.jpg
15,10.01,NR,NO RESPONDE,Negativo,361_orig_460.jpg
16,6.94,3,Neutral,Neutral,640_orig_739.jpg
17,6.74,3,Neutral,Positivo,1123_orig_1359.jpg
18,5.54,3,Neutral,Negativo,1292_orig_1629.jpg
19,6.13,3,Neutral,Neutral,722_orig_821.jpg
20,4.79,2,Negativo,Positivo,1134_orig_1370.jpg
21,7.24,3,Neutral,Negativo,324_orig_423.jpg
22,4.85,1,Positivo,Positivo,33_orig_32.jpg
23,5.67,1,Positivo,Neutral,873_orig_972.jpg
24,4.26,1,Positivo,Negativo,1322_orig_1659.jpg
25,5.76,1,Positivo,Neutral,130_orig_129.jpg
26,4.60,1,Positivo,Negativo,184_orig_183.jpg
27,5.55,1,Positivo,Positivo,105_orig_104.jpg
28,4.43,1,Positivo,Neutral,262_orig_261.jpg
29,6.74,1,Positivo,Negativo,198_orig_197.jpg
30,5.23,1,Positivo,Neutral,746_orig_845.jpg
31,7.76,3,Neutral,Positivo,82_orig_81.jpg
32,5.91,1,Positivo,Negativo,292_orig_291.jpg
33,7.18,1,Positivo,Negativo,916_orig_1094.jpg
34,5.66,1,Positivo,Negativo,251_orig_250.jpg
35,6.37,2,Negativo,Neutral,573_orig_672.jpg
36,6.38,1,Positivo,Positivo,58_orig_57.jpg
37,7.83,2,Negativo,Negativo,760_orig_859.jpg
38,5.73,1,Positivo,Neutral,246_orig_245.jpg
39,9.01,3,Neutral,Negativo,432_orig_531.jpg
40,6.35,1,Positivo,Neutral,779_orig_878.jpg
41,6.30,1,Positivo,Positivo,5_orig_4.jpg
42,4.62,1,Positivo,Neutral,420_orig_519.jpg
43,5.75,1,Positivo,Neutral,850_orig_949.jpg
44,6.48,2,Negativo,Positivo,1120_orig_1356.jpg
45,7.20,2,Negativo,Negativo,264_orig_263.jpg
46,6.11,2,Negativo,Negativo,87_orig_86.jpg
47,8.63,3,Neutral,Positivo,1155_orig_1391.jpg
48,7.53,3,Neutral,Negativo,704_orig_803.jpg
49,6.79,1,Positivo,Neutral,726_orig_825.jpg
50,3.70,1,Positivo,Neutral,250_orig_249.jpg
51,5.58,1,Positivo,Positivo,153_orig_152.jpg
52,8.84,1,Positivo,Neutral,831_orig_930.jpg
53,3.81,1,Positivo,Positivo,26_orig_25.jpg
54,5.77,1,Positivo,Positivo,71_orig_70.jpg
55,5.06,2,Negativo,Positivo,76_orig_75.jpg
56,5.65,2,Negativo,Positivo,78_orig_77.jpg
57,7.39,3,Neutral,Neutral,423_orig_522.jpg
58,5.19,1,Positivo,Positivo,10_orig_9.jpg
59,6.83,3,Neutral,Positivo,205_orig_204.jpg
60,5.02,1,Positivo,Neutral,1054_orig_1290.jpg
