ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,2.54,3,Neutral,Negativo,906_orig_1037.jpg
2,2.56,3,Neutral,Negativo,1420_orig_1915.jpg
3,2.60,3,Neutral,Neutral,790_orig_889.jpg
4,2.17,3,Neutral,Positivo,51_orig_50.jpg
5,2.55,3,Neutral,Positivo,77_orig_76.jpg
6,3.27,3,Neutral,Negativo,1150_orig_1386.jpg
7,4.31,3,Neutral,Neutral,811_orig_910.jpg
8,2.20,3,Neutral,Neutral,859_orig_958.jpg
9,3.66,3,Neutral,Negativo,584_orig_683.jpg
10,2.85,3,Neutral,Positivo,91_orig_90.jpg
11,4.21,3,Neutral,Positivo,272_orig_271.jpg
12,3.70,1,Positivo,Negativo,796_orig_895.jpg
13,2.88,3,Neutral,Negativo,41_orig_40.jpg
14,3.20,3,Neutral,Neutral,336_orig_435.jpg
15,4.27,3,Neutral,Negativo,361_orig_460.jpg
16,3.90,3,Neutral,Neutral,640_orig_739.jpg
17,3.96,3,Neutral,Positivo,1123_orig_1359.jpg
18,3.01,3,Neutral,Negativo,1292_orig_1629.jpg
19,2.77,3,Neutral,Neutral,722_orig_821.jpg
20,10.00,NR,NO RESPONDE,Positivo,1134_orig_1370.jpg
21,3.35,3,Neutral,Negativo,324_orig_423.jpg
22,5.32,3,Neutral,Positivo,33_orig_32.jpg
23,2.74,3,Neutral,Neutral,873_orig_972.jpg
24,2.99,3,Neutral,Negativo,1322_orig_1659.jpg
25,4.47,3,Neutral,Neutral,130_orig_129.jpg
26,6.04,3,Neutral,Negativo,184_orig_183.jpg
27,3.61,3,Neutral,Positivo,105_orig_104.jpg
28,4.42,3,Neutral,Neutral,262_orig_261.jpg
29,3.88,3,Neutral,Negativo,198_orig_197.jpg
30,5.21,1,Positivo,Neutral,746_orig_845.jpg
31,4.67,3,Neutral,Positivo,82_orig_81.jpg
32,2.36,3,Neutral,Negativo,292_orig_291.jpg
33,2.99,3,Neutral,Negativo,916_orig_1094.jpg
34,3.73,3,Neutral,Negativo,251_orig_250.jpg
35,3.12,3,Neutral,Neutral,573_orig_672.jpg
36,4.11,3,Neutral,Positivo,58_orig_57.jpg
37,3.51,3,Neutral,Negativo,760_orig_859.jpg
38,3.56,3,Neutral,Neutral,246_orig_245.jpg
39,3.60,3,Neutral,Negativo,432_orig_531.jpg
40,4.01,3,Neutral,Neutral,779_orig_878.jpg
41,4.65,3,Neutral,Positivo,5_orig_4.jpg
42,4.38,3,Neutral,Neutral,420_orig_519.jpg
43,4.01,3,Neutral,Neutral,850_orig_949.jpg
44,6.89,1,Positivo,Positivo,1120_orig_1356.jpg
45,5.93,1,Positivo,Negativo,264_orig_263.jpg
46,3.76,3,Neutral,Negativo,87_orig_86.jpg
47,4.14,3,Neutral,Positivo,1155_orig_1391.jpg
48,5.26,1,Positivo,Negativo,704_orig_803.jpg
49,4.41,3,Neutral,Neutral,726_orig_825.jpg
50,4.19,3,Neutral,Neutral,250_orig_249.jpg
51,3.65,3,Neutral,Positivo,153_orig_152.jpg
52,4.07,3,Neutral,Neutral,831_orig_930.jpg
53,4.23,3,Neutral,Positivo,26_orig_25.jpg
54,4.26,3,Neutral,Positivo,71_orig_70.jpg
55,5.09,1,Positivo,Positivo,76_orig_75.jpg
56,5.56,1,Positivo,Positivo,78_orig_77.jpg
57,3.04,3,Neutral,Neutral,423_orig_522.jpg
58,3.71,3,Neutral,Positivo,10_orig_9.jpg
59,4.46,3,Negativo,Positivo,205_orig_204.jpg
60,3.69,3,Neutral,Neutral,1054_orig_1290.jpg
