ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,2.81,1,Positivo,Negativo,906_orig_1037.jpg
2,3.06,3,Neutral,Negativo,1420_orig_1915.jpg
3,3.46,1,Positivo,Neutral,790_orig_889.jpg
4,2.59,1,Positivo,Positivo,51_orig_50.jpg
5,2.58,1,Positivo,Positivo,77_orig_76.jpg
6,3.08,3,Neutral,Negativo,1150_orig_1386.jpg
7,5.09,3,Neutral,Neutral,811_orig_910.jpg
8,3.61,3,Neutral,Neutral,859_orig_958.jpg
9,3.37,1,Positivo,Negativo,584_orig_683.jpg
10,2.99,3,Neutral,Positivo,91_orig_90.jpg
11,4.55,3,Neutral,Positivo,272_orig_271.jpg
12,3.15,1,Positivo,Negativo,796_orig_895.jpg
13,4.37,3,Neutral,Negativo,41_orig_40.jpg
14,2.89,1,Positivo,Neutral,336_orig_435.jpg
15,3.74,3,Neutral,Negativo,361_orig_460.jpg
16,4.76,1,Positivo,Neutral,640_orig_739.jpg
17,2.83,1,Positivo,Positivo,1123_orig_1359.jpg
18,3.99,3,Neutral,Negativo,1292_orig_1629.jpg
19,3.74,3,Neutral,Neutral,722_orig_821.jpg
20,5.59,3,Neutral,Positivo,1134_orig_1370.jpg
21,4.90,1,Positivo,Negativo,324_orig_423.jpg
22,3.94,1,Positivo,Positivo,33_orig_32.jpg
23,4.11,3,Neutral,Neutral,873_orig_972.jpg
24,2.91,1,Positivo,Negativo,1322_orig_1659.jpg
25,4.73,3,Neutral,Neutral,130_orig_129.jpg
26,3.24,1,Positivo,Negativo,184_orig_183.jpg
27,3.63,1,Positivo,Positivo,105_orig_104.jpg
28,5.68,3,Neutral,Neutral,262_orig_261.jpg
29,3.02,3,Neutral,Negativo,198_orig_197.jpg
30,6.27,1,Positivo,Neutral,746_orig_845.jpg
31,4.99,1,Positivo,Positivo,82_orig_81.jpg
32,3.11,3,Neutral,Negativo,292_orig_291.jpg
33,4.49,3,Neutral,Negativo,916_orig_1094.jpg
34,3.74,3,Neutral,Negativo,251_orig_250.jpg
35,3.86,3,Neutral,Neutral,573_orig_672.jpg
36,5.01,3,Neutral,Positivo,58_orig_57.jpg
37,4.92,1,Positivo,Negativo,760_orig_859.jpg
38,4.33,1,Positivo,Neutral,246_orig_245.jpg
39,4.33,3,Neutral,Negativo,432_orig_531.jpg
40,3.54,1,Positivo,Neutral,779_orig_878.jpg
41,2.72,1,Positivo,Positivo,5_orig_4.jpg
42,2.46,1,Positivo,Neutral,420_orig_519.jpg
43,4.16,1,Positivo,Neutral,850_orig_949.jpg
44,3.96,1,Positivo,Positivo,1120_orig_1356.jpg
45,3.98,1,Positivo,Negativo,264_orig_263.jpg
46,3.47,1,Positivo,Negativo,87_orig_86.jpg
47,4.48,3,Neutral,Positivo,1155_orig_1391.jpg
48,5.42,1,Positivo,Negativo,704_orig_803.jpg
49,3.04,1,Positivo,Neutral,726_orig_825.jpg
50,2.93,1,Positivo,Neutral,250_orig_249.jpg
51,3.52,3,Neutral,Positivo,153_orig_152.jpg
52,6.46,3,Neutral,Neutral,831_orig_930.jpg
53,3.83,1,Positivo,Positivo,26_orig_25.jpg
54,2.78,1,Positivo,Positivo,71_orig_70.jpg
55,5.58,2,Negativo,Positivo,76_orig_75.jpg
56,2.84,1,Positivo,Positivo,78_orig_77.jpg
57,5.45,3,Neutral,Neutral,423_orig_522.jpg
58,NA,NR,NO RESPONDE,Positivo,10_orig_9.jpg
59,5.22,3,Neutral,Positivo,205_orig_204.jpg
60,4.44,1,Positivo,Neutral,1054_orig_1290.jpg
