ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,7.61,1,Positivo,Negativo,906_orig_1037.jpg
2,7.30,1,Positivo,Negativo,1420_orig_1915.jpg
3,2.69,1,Positivo,Neutral,790_orig_889.jpg
4,2.07,1,Positivo,Positivo,51_orig_50.jpg
5,6.68,2,Negativo,Positivo,77_orig_76.jpg
6,5.72,2,Negativo,Negativo,1150_orig_1386.jpg
7,3.00,2,Negativo,Neutral,811_orig_910.jpg
8,5.42,3,Neutral,Neutral,859_orig_958.jpg
9,6.22,2,Negativo,Negativo,584_orig_683.jpg
10,6.04,1,Positivo,Positivo,91_orig_90.jpg
11,2.79,2,Negativo,Positivo,272_orig_271.jpg
12,2.43,1,Positivo,Negativo,796_orig_895.jpg
13,3.03,1,Positivo,Negativo,41_orig_40.jpg
14,2.27,1,Positivo,Neutral,336_orig_435.jpg
15,6.88,3,Neutral,Negativo,361_orig_460.jpg
16,4.03,2,Negativo,Neutral,640_orig_739.jpg
17,4.55,2,Negativo,Positivo,1123_orig_1359.jpg
18,4.13,1,Positivo,Negativo,1292_orig_1629.jpg
19,2.74,1,Positivo,Neutral,722_orig_821.jpg
20,5.57,2,Negativo,Positivo,1134_orig_1370.jpg
21,3.78,1,Positivo,Negativo,324_orig_423.jpg
22,3.80,1,Positivo,Positivo,33_orig_32.jpg
23,5.86,2,Negativo,Neutral,873_orig_972.jpg
24,2.88,1,Positivo,Negativo,1322_orig_1659.jpg
25,4.93,1,Positivo,Neutral,130_orig_129.jpg
26,2.25,1,Positivo,Negativo,184_orig_183.jpg
27,4.58,1,Positivo,Positivo,105_orig_104.jpg
28,2.99,2,Negativo,Neutral,262_orig_261.jpg
29,3.87,2,Negativo,Negativo,198_orig_197.jpg
30,2.69,1,Positivo,Neutral,746_orig_845.jpg
31,4.60,2,Negativo,Positivo,82_orig_81.jpg
32,3.02,1,Positivo,Negativo,292_orig_291.jpg
33,3.11,1,Positivo,Negativo,916_orig_1094.jpg
34,3.51,1,Positivo,Negativo,251_orig_250.jpg
35,2.49,2,Negativo,Neutral,573_orig_672.jpg
36,3.45,1,Positivo,Positivo,58_orig_57.jpg
37,3.99,2,Negativo,Negativo,760_orig_859.jpg
38,4.41,3,Neutral,Neutral,246_orig_245.jpg
39,3.25,2,Negativo,Negativo,432_orig_531.jpg
40,2.92,1,Positivo,Neutral,779_orig_878.jpg
41,4.57,1,Positivo,Positivo,5_orig_4.jpg
42,3.53,1,Positivo,Neutral,420_orig_519.jpg
43,3.20,1,Positivo,Neutral,850_orig_949.jpg
44,4.13,2,Negativo,Positivo,1120_orig_1356.jpg
45,3.16,1,Positivo,Negativo,264_orig_263.jpg
46,7.55,2,Negativo,Negativo,87_orig_86.jpg
47,3.54,2,Negativo,Positivo,1155_orig_1391.jpg
48,4.97,1,Positivo,Negativo,704_orig_803.jpg
49,3.20,1,Positivo,Neutral,726_orig_825.jpg
50,3.96,1,Positivo,Neutral,250_orig_249.jpg
51,4.00,2,Negativo,Positivo,153_orig_152.jpg
52,3.24,2,Negativo,Neutral,831_orig_930.jpg
53,2.87,1,Positivo,Positivo,26_orig_25.jpg
54,2.31,1,Positivo,Positivo,71_orig_70.jpg
55,3.15,2,Negativo,Positivo,76_orig_75.jpg
56,2.76,1,Positivo,Positivo,78_orig_77.jpg
57,3.84,2,Negativo,Neutral,423_orig_522.jpg
58,4.54,2,Negativo,Positivo,10_orig_9.jpg
59,5.07,2,Negativo,Positivo,205_orig_204.jpg
60,2.51,1,Positivo,Neutral,1054_orig_1290.jpg
