ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,4.47,1,Positivo,Negativo,906_orig_1037.jpg
2,3.53,1,Positivo,Negativo,1420_orig_1915.jpg
3,2.37,1,Positivo,Neutral,790_orig_889.jpg
4,7.76,3,Neutral,Positivo,51_orig_50.jpg
5,3.73,1,Positivo,Positivo,77_orig_76.jpg
6,4.01,3,Neutral,Negativo,1150_orig_1386.jpg
7,5.38,1,Positivo,Neutral,811_orig_910.jpg
8,4.43,3,Neutral,Neutral,859_orig_958.jpg
9,3.98,3,Neutral,Negativo,584_orig_683.jpg
10,4.08,1,Positivo,Positivo,91_orig_90.jpg
11,3.65,3,Neutral,Positivo,272_orig_271.jpg
12,3.31,3,Neutral,Negativo,796_orig_895.jpg
13,2.75,1,Positivo,Negativo,41_orig_40.jpg
14,2.04,1,Positivo,Neutral,336_orig_435.jpg
15,4.32,1,Positivo,Negativo,361_orig_460.jpg
16,2.16,3,Neutral,Neutral,640_orig_739.jpg
17,3.15,1,Positivo,Positivo,1123_orig_1359.jpg
18,3.08,1,Positivo,Negativo,1292_orig_1629.jpg
19,2.28,1,Positivo,Neutral,722_orig_821.jpg
20,5.02,1,Positivo,Positivo,1134_orig_1370.jpg
21,3.49,3,Neutral,Negativo,324_orig_423.jpg
22,3.13,1,Positivo,Positivo,33_orig_32.jpg
23,3.72,3,Neutral,Neutral,873_orig_972.jpg
24,2.18,1,Positivo,Negativo,1322_orig_1659.jpg
25,10.01,NR,NO RESPONDE,Neutral,130_orig_129.jpg
26,3.59,1,Positivo,Negativo,184_orig_183.jpg
27,3.31,1,Positivo,Positivo,105_orig_104.jpg
28,3.72,3,Neutral,Neutral,262_orig_261.jpg
29,2.37,1,Positivo,Negativo,198_orig_197.jpg
30,2.34,1,Positivo,Neutral,746_orig_845.jpg
31,4.61,3,Neutral,Positivo,82_orig_81.jpg
32,2.43,1,Positivo,Negativo,292_orig_291.jpg
33,3.02,3,Neutral,Negativo,916_orig_1094.jpg
34,3.18,3,Neutral,Negativo,251_orig_250.jpg
35,4.82,1,Positivo,Neutral,573_orig_672.jpg
36,3.48,3,Neutral,Positivo,58_orig_57.jpg
37,3.51,1,Positivo,Negativo,760_orig_859.jpg
38,3.82,3,Neutral,Neutral,246_orig_245.jpg
39,2.82,1,Positivo,Negativo,432_orig_531.jpg
40,4.70,3,Neutral,Neutral,779_orig_878.jpg
41,2.66,1,Positivo,Positivo,5_orig_4.jpg
42,2.18,1,Positivo,Neutral,420_orig_519.jpg
43,3.47,1,Positivo,Neutral,850_orig_949.jpg
44,4.00,3,Neutral,Positivo,1120_orig_1356.jpg
45,1.92,1,Positivo,Negativo,264_orig_263.jpg
46,3.36,1,Positivo,Negativo,87_orig_86.jpg
47,5.73,3,Neutral,Positivo,1155_orig_1391.jpg
48,3.78,1,Positivo,Negativo,704_orig_803.jpg
49,2.36,1,Positivo,Neutral,726_orig_825.jpg
50,3.41,1,Positivo,Neutral,250_orig_249.jpg
51,4.30,3,Neutral,Positivo,153_orig_152.jpg
52,5.04,1,Positivo,Neutral,831_orig_930.jpg
53,4.32,1,Positivo,Positivo,26_orig_25.jpg
54,3.70,1,Positivo,Positivo,71_orig_70.jpg
55,10.00,NR,NO RESPONDE,Positivo,76_orig_75.jpg
56,3.83,1,Positivo,Positivo,78_orig_77.jpg
57,4.80,1,Positivo,Neutral,423_orig_522.jpg
58,3.06,1,Positivo,Positivo,10_orig_9.jpg
59,2.62,1,Positivo,Positivo,205_orig_204.jpg
60,2.11,1,Positivo,Neutral,1054_orig_1290.jpg
