ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,3.52,1,Positivo,Negativo,906_orig_1037.jpg
2,6.21,1,Positivo,Negativo,1420_orig_1915.jpg
3,6.49,1,Positivo,Neutral,790_orig_889.jpg
4,5.37,1,Positivo,Positivo,51_orig_50.jpg
5,2.93,1,Positivo,Positivo,77_orig_76.jpg
6,5.73,3,Neutral,Negativo,1150_orig_1386.jpg
7,6.23,3,Neutral,Neutral,811_orig_910.jpg
8,6.09,3,Neutral,Neutral,859_orig_958.jpg
9,7.17,1,Positivo,Negativo,584_orig_683.jpg
10,8.11,1,Positivo,Positivo,91_orig_90.jpg
11,6.97,1,Positivo,Positivo,272_orig_271.jpg
12,6.74,3,Neutral,Negativo,796_orig_895.jpg
13,7.45,1,Positivo,Negativo,41_orig_40.jpg
14,8.91,1,Positivo,Neutral,336_orig_435.jpg
15,7.44,3,Neutral,Negativo,361_orig_460.jpg
16,5.04,3,Neutral,Neutral,640_orig_739.jpg
17,8.32,1,Positivo,Positivo,1123_orig_1359.jpg
18,5.33,3,Neutral,Negativo,1292_orig_1629.jpg
19,6.29,3,Neutral,Neutral,722_orig_821.jpg
20,9.27,3,Neutral,Positivo,1134_orig_1370.jpg
21,9.48,1,Positivo,Negativo,324_orig_423.jpg
22,5.41,1,Positivo,Positivo,33_orig_32.jpg
23,10.02,NR,NO RESPONDE,Neutral,873_orig_972.jpg
24,5.63,3,Neutral,Negativo,1322_orig_1659.jpg
25,8.57,3,Neutral,Neutral,130_orig_129.jpg
26,6.05,1,Positivo,Negativo,184_orig_183.jpg
27,7.69,1,Positivo,Positivo,105_orig_104.jpg
28,8.33,3,Neutral,Neutral,262_orig_261.jpg
29,5.60,3,Neutral,Negativo,198_orig_197.jpg
30,4.31,1,Positivo,Neutral,746_orig_845.jpg
31,8.04,1,Positivo,Positivo,82_orig_81.jpg
32,10.00,NR,NO RESPONDE,Negativo,292_orig_291.jpg
33,8.66,3,Neutral,Negativo,916_orig_1094.jpg
34,9.45,3,Neutral,Negativo,251_orig_250.jpg
35,5.66,3,Neutral,Neutral,573_orig_672.jpg
36,8.89,1,Positivo,Positivo,58_orig_57.jpg
37,7.85,3,Neutral,Negativo,760_orig_859.jpg
38,7.72,3,Neutral,Neutral,246_orig_245.jpg
39,10.01,NR,NO RESPONDE,Negativo,432_orig_531.jpg
40,8.41,3,Neutral,Neutral,779_orig_878.jpg
41,6.20,1,Positivo,Positivo,5_orig_4.jpg
42,9.26,1,Positivo,Neutral,420_orig_519.jpg
43,10.01,NR,NO RESPONDE,Neutral,850_orig_949.jpg
44,7.79,3,Neutral,Positivo,1120_orig_1356.jpg
45,5.79,3,Neutral,Negativo,264_orig_263.jpg
46,9.44,1,Positivo,Negativo,87_orig_86.jpg
47,5.17,3,Neutral,Positivo,1155_orig_1391.jpg
48,6.04,3,Neutral,Negativo,704_orig_803.jpg
49,8.74,3,Neutral,Neutral,726_orig_825.jpg
50,7.50,3,Neutral,Neutral,250_orig_249.jpg
51,10.01,NR,NO RESPONDE,Positivo,153_orig_152.jpg
52,7.85,1,Positivo,Neutral,831_orig_930.jpg
53,8.55,1,Positivo,Positivo,26_orig_25.jpg
54,6.91,1,Positivo,Positivo,71_orig_70.jpg
55,8.18,2,Negativo,Positivo,76_orig_75.jpg
56,9.25,2,Negativo,Positivo,78_orig_77.jpg
57,9.07,2,Negativo,Neutral,423_orig_522.jpg
58,7.14,1,Positivo,Positivo,10_orig_9.jpg
59,5.32,3,Neutral,Positivo,205_orig_204.jpg
60,5.96,1,Positivo,Neutral,1054_orig_1290.jpg
