ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,3.59,1,Positivo,Negativo,906_orig_1037.jpg
2,2.81,3,Neutral,Negativo,1420_orig_1915.jpg
3,3.89,3,Neutral,Neutral,790_orig_889.jpg
4,5.39,3,Neutral,Positivo,51_orig_50.jpg
5,4.43,3,Neutral,Positivo,77_orig_76.jpg
6,3.47,3,Neutral,Negativo,1150_orig_1386.jpg
7,5.95,3,Neutral,Neutral,811_orig_910.jpg
8,5.27,1,Positivo,Neutral,859_orig_958.jpg
9,3.48,1,Positivo,Negativo,584_orig_683.jpg
10,4.32,3,Neutral,Positivo,91_orig_90.jpg
11,4.19,3,Neutral,Positivo,272_orig_271.jpg
12,3.8,1,Positivo,Negativo,796_orig_895.jpg
13,4.4,3,Neutral,Negativo,41_orig_40.jpg
14,3.28,1,Positivo,Neutral,336_orig_435.jpg
15,6.94,3,Neutral,Negativo,361_orig_460.jpg
16,4.87,3,Neutral,Neutral,640_orig_739.jpg
17,4.38,1,Positivo,Positivo,1123_orig_1359.jpg
18,4.66,3,Neutral,Negativo,1292_orig_1629.jpg
19,4.87,3,Neutral,Neutral,722_orig_821.jpg
20,5.27,3,Neutral,Positivo,1134_orig_1370.jpg
21,4.19,1,Positivo,Negativo,324_orig_423.jpg
22,2.32,1,Positivo,Positivo,33_orig_32.jpg
23,4.54,3,Neutral,Neutral,873_orig_972.jpg
24,3.63,3,Neutral,Negativo,1322_orig_1659.jpg
25,4.47,3,Neutral,Neutral,130_orig_129.jpg
26,3.48,1,Positivo,Negativo,184_orig_183.jpg
27,3.52,1,Positivo,Positivo,105_orig_104.jpg
28,10.0,NR,NO RESPONDE,Neutral,262_orig_261.jpg
29,4.31,3,Neutral,Negativo,198_orig_197.jpg
30,5.53,1,Positivo,Neutral,746_orig_845.jpg
31,5.03,3,Neutral,Positivo,82_orig_81.jpg
32,3.68,3,Neutral,Negativo,292_orig_291.jpg
33,6.94,1,Positivo,Negativo,916_orig_1094.jpg
34,3.75,3,Neutral,Negativo,251_orig_250.jpg
35,6.04,3,Neutral,Neutral,573_orig_672.jpg
36,4.97,3,Neutral,Positivo,58_orig_57.jpg
37,4.87,3,Neutral,Negativo,760_orig_859.jpg
38,4.18,3,Neutral,Neutral,246_orig_245.jpg
39,4.86,3,Neutral,Negativo,432_orig_531.jpg
40,4.67,1,Positivo,Neutral,779_orig_878.jpg
41,3.85,3,Neutral,Positivo,5_orig_4.jpg
42,3.66,1,Positivo,Neutral,420_orig_519.jpg
43,4.42,3,Neutral,Neutral,850_orig_949.jpg
44,5.64,3,Neutral,Positivo,1120_orig_1356.jpg
45,4.18,3,Neutral,Negativo,264_orig_263.jpg
46,4.65,3,Neutral,Negativo,87_orig_86.jpg
47,4.9,3,Neutral,Positivo,1155_orig_1391.jpg
48,5.69,1,Positivo,Negativo,704_orig_803.jpg
49,4.48,1,Positivo,Neutral,726_orig_825.jpg
50,2.18,1,Positivo,Neutral,250_orig_249.jpg
51,4.8,3,Neutral,Positivo,153_orig_152.jpg
52,3.46,1,Positivo,Neutral,831_orig_930.jpg
53,3.42,1,Positivo,Positivo,26_orig_25.jpg
54,2.96,1,Positivo,Positivo,71_orig_70.jpg
55,4.13,1,Positivo,Positivo,76_orig_75.jpg
56,2.89,1,Positivo,Positivo,78_orig_77.jpg
57,5.1,3,Neutral,Neutral,423_orig_522.jpg
58,4.57,1,Positivo,Positivo,10_orig_9.jpg
59,6.25,3,Neutral,Positivo,205_orig_204.jpg
60,4.24,3,Neutral,Neutral,1054_orig_1290.jpg
