ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,7.24,3,Neutral,Negativo,906_orig_1037.jpg
2,7.61,3,Neutral,Negativo,1420_orig_1915.jpg
3,4.82,3,Neutral,Neutral,790_orig_889.jpg
4,6.07,3,Neutral,Positivo,51_orig_50.jpg
5,3.04,1,Positivo,Positivo,77_orig_76.jpg
6,3.39,1,Positivo,Negativo,1150_orig_1386.jpg
7,8.81,3,Neutral,Neutral,811_orig_910.jpg
8,4.49,3,Neutral,Neutral,859_orig_958.jpg
9,6.55,3,Neutral,Negativo,584_orig_683.jpg
10,5.57,2,Negativo,Positivo,91_orig_90.jpg
11,7.64,3,Neutral,Positivo,272_orig_271.jpg
12,5.13,3,Neutral,Negativo,796_orig_895.jpg
13,7.09,1,Positivo,Negativo,41_orig_40.jpg
14,5.22,3,Neutral,Neutral,336_orig_435.jpg
15,9.53,3,Neutral,Negativo,361_orig_460.jpg
16,5.55,2,Negativo,Neutral,640_orig_739.jpg
17,4.18,1,Positivo,Positivo,1123_orig_1359.jpg
18,6.73,3,Neutral,Negativo,1292_orig_1629.jpg
19,5.15,3,Neutral,Neutral,722_orig_821.jpg
20,10.00,NR,NO RESPONDE,Positivo,1134_orig_1370.jpg
21,6.14,3,Neutral,Negativo,324_orig_423.jpg
22,3.81,1,Positivo,Positivo,33_orig_32.jpg
23,6.19,2,Negativo,Neutral,873_orig_972.jpg
24,5.79,3,Neutral,Negativo,1322_orig_1659.jpg
25,9.54,3,Neutral,Neutral,130_orig_129.jpg
26,10.01,NR,NO RESPONDE,Negativo,184_orig_183.jpg
27,8.72,3,Neutral,Positivo,105_orig_104.jpg
28,5.93,2,Negativo,Neutral,262_orig_261.jpg
29,6.22,3,Neutral,Negativo,198_orig_197.jpg
30,4.76,1,Positivo,Neutral,746_orig_845.jpg
31,4.75,1,Positivo,Positivo,82_orig_81.jpg
32,5.33,3,Neutral,Negativo,292_orig_291.jpg
33,6.51,3,Neutral,Negativo,916_orig_1094.jpg
34,6.83,3,Neutral,Negativo,251_orig_250.jpg
35,7.92,3,Neutral,Neutral,573_orig_672.jpg
36,3.54,1,Positivo,Positivo,58_orig_57.jpg
37,9.28,1,Positivo,Negativo,760_orig_859.jpg
38,7.38,1,Positivo,Neutral,246_orig_245.jpg
39,5.88,3,Neutral,Negativo,432_orig_531.jpg
40,7.59,3,Neutral,Neutral,779_orig_878.jpg
41,7.04,1,Positivo,Positivo,5_orig_4.jpg
42,8.25,3,Neutral,Neutral,420_orig_519.jpg
43,7.49,3,Neutral,Neutral,850_orig_949.jpg
44,10.01,NR,NO RESPONDE,Positivo,1120_orig_1356.jpg
45,6.22,3,Neutral,Negativo,264_orig_263.jpg
46,4.91,3,Neutral,Negativo,87_orig_86.jpg
47,5.64,2,Negativo,Positivo,1155_orig_1391.jpg
48,9.99,2,Negativo,Negativo,704_orig_803.jpg
49,7.94,3,Neutral,Neutral,726_orig_825.jpg
50,4.51,3,Neutral,Neutral,250_orig_249.jpg
51,6.68,3,Neutral,Positivo,153_orig_152.jpg
52,8.01,3,Neutral,Neutral,831_orig_930.jpg
53,5.27,1,Positivo,Positivo,26_orig_25.jpg
54,4.75,1,Positivo,Positivo,71_orig_70.jpg
55,4.42,2,Negativo,Positivo,76_orig_75.jpg
56,4.48,3,Neutral,Positivo,78_orig_77.jpg
57,4.03,2,Negativo,Neutral,423_orig_522.jpg
58,6.66,2,Negativo,Positivo,10_orig_9.jpg
59,7.53,3,Neutral,Positivo,205_orig_204.jpg
60,3.30,3,Neutral,Neutral,1054_orig_1290.jpg
