ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,6.10,3,Neutral,Negativo,906_orig_1037.jpg
2,3.56,1,Positivo,Negativo,1420_orig_1915.jpg
3,3.53,3,Neutral,Neutral,790_orig_889.jpg
4,4.36,3,Neutral,Positivo,51_orig_50.jpg
5,2.62,1,Positivo,Positivo,77_orig_76.jpg
6,3.23,1,Positivo,Negativo,1150_orig_1386.jpg
7,2.70,1,Positivo,Neutral,811_orig_910.jpg
8,2.44,3,Neutral,Neutral,859_orig_958.jpg
9,10.01,NR,NO RESPONDE,Negativo,584_orig_683.jpg
10,3.94,3,Neutral,Positivo,91_orig_90.jpg
11,4.39,3,Neutral,Positivo,272_orig_271.jpg
12,2.97,3,Neutral,Negativo,796_orig_895.jpg
13,3.71,3,Neutral,Negativo,41_orig_40.jpg
14,10.01,NR,NO RESPONDE,Neutral,336_orig_435.jpg
15,2.53,3,Neutral,Negativo,361_orig_460.jpg
16,3.82,1,Positivo,Neutral,640_orig_739.jpg
17,2.41,1,Positivo,Positivo,1123_orig_1359.jpg
18,4.46,3,Neutral,Negativo,1292_orig_1629.jpg
19,3.20,3,Neutral,Neutral,722_orig_821.jpg
20,3.58,2,Negativo,Positivo,1134_orig_1370.jpg
21,3.34,3,Neutral,Negativo,324_orig_423.jpg
22,2.86,1,Positivo,Positivo,33_orig_32.jpg
23,4.12,2,Negativo,Neutral,873_orig_972.jpg
24,3.96,3,Neutral,Negativo,1322_orig_1659.jpg
25,3.22,1,Positivo,Neutral,130_orig_129.jpg
26,3.01,3,Neutral,Negativo,184_orig_183.jpg
27,4.79,1,Positivo,Positivo,105_orig_104.jpg
28,4.08,3,Neutral,Neutral,262_orig_261.jpg
29,4.11,3,Neutral,Negativo,198_orig_197.jpg
30,2.28,1,Positivo,Neutral,746_orig_845.jpg
31,3.19,3,Neutral,Positivo,82_orig_81.jpg
32,3.55,3,Neutral,Negativo,292_orig_291.jpg
33,3.47,1,Positivo,Negativo,916_orig_1094.jpg
34,2.46,2,Negativo,Negativo,251_orig_250.jpg
35,3.17,2,Negativo,Neutral,573_orig_672.jpg
36,2.31,1,Positivo,Positivo,58_orig_57.jpg
37,2.35,1,Positivo,Negativo,760_orig_859.jpg
38,3.63,3,Neutral,Neutral,246_orig_245.jpg
39,3.03,3,Neutral,Negativo,432_orig_531.jpg
40,2.55,1,Positivo,Neutral,779_orig_878.jpg
41,10.01,NR,NO RESPONDE,Positivo,5_orig_4.jpg
42,6.53,2,Negativo,Neutral,420_orig_519.jpg
43,3.01,2,Negativo,Neutral,850_orig_949.jpg
44,10.01,NR,NO RESPONDE,Positivo,1120_orig_1356.jpg
45,3.89,2,Negativo,Negativo,264_orig_263.jpg
46,4.42,3,Neutral,Negativo,87_orig_86.jpg
47,4.26,2,Negativo,Positivo,1155_orig_1391.jpg
48,2.90,2,Negativo,Negativo,704_orig_803.jpg
49,3.28,3,Neutral,Neutral,726_orig_825.jpg
50,3.48,3,Neutral,Neutral,250_orig_249.jpg
51,3.67,3,Neutral,Positivo,153_orig_152.jpg
52,3.40,3,Neutral,Neutral,831_orig_930.jpg
53,4.41,2,Negativo,Positivo,26_orig_25.jpg
54,4.45,2,Negativo,Positivo,71_orig_70.jpg
55,4.06,2,Negativo,Positivo,76_orig_75.jpg
56,2.84,3,Neutral,Positivo,78_orig_77.jpg
57,3.42,2,Negativo,Neutral,423_orig_522.jpg
58,2.59,2,Negativo,Positivo,10_orig_9.jpg
59,3.26,3,Neutral,Positivo,205_orig_204.jpg
60,3.42,3,Neutral,Neutral,1054_orig_1290.jpg
