ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,4.31,3,Neutral,Negativo,906_orig_1037.jpg
2,4.63,3,Neutral,Negativo,1420_orig_1915.jpg
3,6.72,3,Neutral,Neutral,790_orig_889.jpg
4,6.75,1,Positivo,Positivo,51_orig_50.jpg
5,4.72,1,Positivo,Positivo,77_orig_76.jpg
6,7.04,3,Neutral,Negativo,1150_orig_1386.jpg
7,9.64,3,Neutral,Neutral,811_orig_910.jpg
8,10.00,NR,NO RESPONDE,Neutral,859_orig_958.jpg
9,3.46,1,Positivo,Negativo,584_orig_683.jpg
10,3.75,3,Neutral,Positivo,91_orig_90.jpg
11,10.01,NR,NO RESPONDE,Positivo,272_orig_271.jpg
12,9.16,3,Neutral,Negativo,796_orig_895.jpg
13,6.26,1,Positivo,Negativo,41_orig_40.jpg
14,9.10,1,Positivo,Neutral,336_orig_435.jpg
15,8.19,1,Positivo,Negativo,361_orig_460.jpg
16,7.51,3,Neutral,Neutral,640_orig_739.jpg
17,6.93,1,Positivo,Positivo,1123_orig_1359.jpg
18,6.55,3,Neutral,Negativo,1292_orig_1629.jpg
19,6.69,3,Neutral,Neutral,722_orig_821.jpg
20,8.74,3,Neutral,Positivo,1134_orig_1370.jpg
21,3.22,3,Neutral,Negativo,324_orig_423.jpg
22,10.01,NR,NO RESPONDE,Positivo,33_orig_32.jpg
23,9.71,1,Positivo,Neutral,873_orig_972.jpg
24,4.74,3,Neutral,Negativo,1322_orig_1659.jpg
25,9.41,3,Neutral,Neutral,130_orig_129.jpg
26,7.96,3,Neutral,Negativo,184_orig_183.jpg
27,10.01,NR,NO RESPONDE,Positivo,105_orig_104.jpg
28,4.95,1,Positivo,Neutral,262_orig_261.jpg
29,8.71,1,Positivo,Negativo,198_orig_197.jpg
30,3.56,1,Positivo,Neutral,746_orig_845.jpg
31,7.92,3,Neutral,Positivo,82_orig_81.jpg
32,2.90,3,Neutral,Negativo,292_orig_291.jpg
33,4.75,3,Neutral,Negativo,916_orig_1094.jpg
34,10.00,NR,NO RESPONDE,Negativo,251_orig_250.jpg
35,3.73,3,Neutral,Neutral,573_orig_672.jpg
36,6.24,3,Neutral,Positivo,58_orig_57.jpg
37,10.01,NR,NO RESPONDE,Negativo,760_orig_859.jpg
38,6.71,1,Positivo,Neutral,246_orig_245.jpg
39,10.00,NR,NO RESPONDE,Negativo,432_orig_531.jpg
40,8.31,1,Positivo,Neutral,779_orig_878.jpg
41,3.41,1,Positivo,Positivo,5_orig_4.jpg
42,6.21,1,Positivo,Neutral,420_orig_519.jpg
43,7.75,1,Positivo,Neutral,850_orig_949.jpg
44,10.02,NR,NO RESPONDE,Positivo,1120_orig_1356.jpg
45,10.01,NR,NO RESPONDE,Negativo,264_orig_263.jpg
46,7.67,3,Neutral,Negativo,87_orig_86.jpg
47,3.61,3,Neutral,Positivo,1155_orig_1391.jpg
48,5.53,3,Neutral,Negativo,704_orig_803.jpg
49,10.00,NR,NO RESPONDE,Neutral,726_orig_825.jpg
50,4.36,3,Neutral,Neutral,250_orig_249.jpg
51,6.77,3,Neutral,Positivo,153_orig_152.jpg
52,6.29,1,Positivo,Neutral,831_orig_930.jpg
53,4.98,1,Positivo,Positivo,26_orig_25.jpg
54,5.35,1,Positivo,Positivo,71_orig_70.jpg
55,7.45,2,Negativo,Positivo,76_orig_75.jpg
56,3.91,3,Neutral,Positivo,78_orig_77.jpg
57,8.15,3,Neutral,Neutral,423_orig_522.jpg
58,6.26,1,Positivo,Positivo,10_orig_9.jpg
59,6.18,3,Neutral,Positivo,205_orig_204.jpg
60,5.37,3,Neutral,Neutral,1054_orig_1290.jpg
