ID,Tiempo,Respuesta,Emocion,Categoria_Real,Archivo
1,2.62,1,Positivo,Negativo,906_orig_1037.jpg
2,5.04,3,Neutral,Negativo,1420_orig_1915.jpg
3,4.53,3,Neutral,Neutral,790_orig_889.jpg
4,3.06,3,Neutral,Positivo,51_orig_50.jpg
5,2.61,1,Positivo,Positivo,77_orig_76.jpg
6,5.78,3,Neutral,Negativo,1150_orig_1386.jpg
7,4.12,1,Positivo,Neutral,811_orig_910.jpg
8,3.24,3,Neutral,Neutral,859_orig_958.jpg
9,4.52,3,Neutral,Negativo,584_orig_683.jpg
10,2.6,3,Neutral,Positivo,91_orig_90.jpg
11,3.06,3,Neutral,Positivo,272_orig_271.jpg
12,3.16,1,Positivo,Negativo,796_orig_895.jpg
13,4.56,1,Positivo,Negativo,41_orig_40.jpg
14,3.62,3,Neutral,Neutral,336_orig_435.jpg
15,7.33,2,Negativo,Negativo,361_orig_460.jpg
16,7.49,2,Negativo,Neutral,640_orig_739.jpg
17,4.3,3,Neutral,Positivo,1123_orig_1359.jpg
18,3.19,3,Neutral,Negativo,1292_orig_1629.jpg
19,3.7,1,Positivo,Neutral,722_orig_821.jpg
20,4.94,2,Negativo,Positivo,1134_orig_1370.jpg
21,3.29,3,Neutral,Negativo,324_orig_423.jpg
22,5.33,1,Positivo,Positivo,33_orig_32.jpg
23,3.96,2,Negativo,Neutral,873_orig_972.jpg
24,4.5,3,Neutral,Negativo,1322_orig_1659.jpg
25,5.57,3,Neutral,Neutral,130_orig_129.jpg
26,4.14,1,Positivo,Negativo,184_orig_183.jpg
27,4.33,1,Positivo,Positivo,105_orig_104.jpg
28,4.13,3,Neutral,Neutral,262_orig_261.jpg
29,3.33,1,Positivo,Negativo,198_orig_197.jpg
30,2.62,1,Positivo,Neutral,746_orig_845.jpg
31,6.01,3,Neutral,Positivo,82_orig_81.jpg
32,4.98,1,Positivo,Negativo,292_orig_291.jpg
33,4.92,3,Neutral,Negativo,916_orig_1094.jpg
34,5.05,3,Neutral,Negativo,251_orig_250.jpg
35,3.92,3,Neutral,Neutral,573_orig_672.jpg
36,6.23,2,Negativo,Positivo,58_orig_57.jpg
37,4.08,3,Neutral,Negativo,760_orig_859.jpg
38,5.33,3,Neutral,Neutral,246_orig_245.jpg
39,3.71,3,Neutral,Negativo,432_orig_531.jpg
40,2.69,1,Positivo,Neutral,779_orig_878.jpg
41,3.47,3,Neutral,Positivo,5_orig_4.jpg
42,2.73,1,Positivo,Neutral,420_orig_519.jpg
43,3.68,3,Neutral,Neutral,850_orig_949.jpg
44,5.39,3,Neutral,Positivo,1120_orig_1356.jpg
45,2.88,3,Neutral,Negativo,264_orig_263.jpg
46,3.61,3,Neutral,Negativo,87_orig_86.jpg
47,4.85,3,Neutral,Positivo,1155_orig_1391.jpg
48,4.85,1,Positivo,Negativo,704_orig_803.jpg
49,4.3,3,Neutral,Neutral,726_orig_825.jpg
50,3.57,1,Positivo,Neutral,250_orig_249.jpg
51,4.07,1,Positivo,Positivo,153_orig_152.jpg
52,5.65,3,Neutral,Neutral,831_orig_930.jpg
53,4.21,3,Neutral,Positivo,26_orig_25.jpg
54,4.02,1,Positivo,Positivo,71_orig_70.jpg
55,4.4,2,Negativo,Positivo,76_orig_75.jpg
56,4.11,1,Positivo,Positivo,78_orig_77.jpg
57,10.01,3,Neutral,Neutral,423_orig_522.jpg
58,7.47,2,Negativo,Positivo,10_orig_9.jpg
59,5.06,1,Positivo,Positivo,205_orig_204.jpg
60,4.21,1,Positivo,Neutral,1054_orig_1290.jpg
