fold,n_train,n_val,best_epoch,best_val_loss,accuracy,macro_precision,macro_recall,macro_f1
1,48,12,1,1.203079640865326,0.0,0.0,0.0,0.0
2,48,12,3,1.1363903880119324,0.25,0.17857142857142858,0.25,0.20454545454545456
3,48,12,19,1.127891719341278,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.27777777777777773
4,48,12,3,1.0111714601516724,0.5,0.5222222222222223,0.5,0.5052910052910052
5,48,12,4,1.095141053199768,0.5833333333333334,0.7000000000000001,0.5833333333333334,0.5555555555555555
