trial_index,filename,original_emotion,n_fixations_for_auc_nss,CC,SIM,KL_empirical_to_prediction,AUC_Judd,NSS,prediction_path,empirical_heatmap_path
20,1134_orig_1370.jpg,Positivo,1709,0.8584714741128855,0.7282209389193913,0.44357509114703486,0.764963968730516,1.2195288482078408,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\20_1134_orig_1370_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1134_orig_1370.npy
21,324_orig_423.jpg,Negativo,1593,0.5017418113219805,0.5423402298000423,0.7454834343258576,0.7949426560873982,0.34115397141998766,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\21_324_orig_423_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\324_orig_423.npy
22,33_orig_32.jpg,Positivo,1602,0.3686222187672571,0.5196105628974983,0.7370673345184735,0.6515289245341768,0.3332211653283126,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\22_33_orig_32_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\33_orig_32.npy
23,873_orig_972.jpg,Neutral,1642,0.47038598381753477,0.5865858496355012,0.6132981245089989,0.7617433220576275,0.557546705241378,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\23_873_orig_972_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\873_orig_972.npy
24,1322_orig_1659.jpg,Negativo,1599,0.3934047201417525,0.435666937964376,1.361880655369904,0.6565746169992946,0.2875926375475613,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\24_1322_orig_1659_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1322_orig_1659.npy
25,130_orig_129.jpg,Neutral,1580,0.5714962315485677,0.5623654150286879,0.6483825739296172,0.7611670465910089,0.4913358770173653,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\25_130_orig_129_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\130_orig_129.npy
26,184_orig_183.jpg,Negativo,1542,0.2995670959817989,0.4623713205993575,0.8584793375020019,0.6403316127718675,0.0001807164940202815,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\26_184_orig_183_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\184_orig_183.npy
27,105_orig_104.jpg,Positivo,1577,0.477356076804816,0.5983216584348605,0.6165242317322961,0.7835273689983695,0.8173234447898238,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\27_105_orig_104_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\105_orig_104.npy
28,262_orig_261.jpg,Neutral,1565,0.5010334436590324,0.6298950231016524,0.49554422157137856,0.6656780180168563,0.4812087703545616,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\28_262_orig_261_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\262_orig_261.npy
29,198_orig_197.jpg,Negativo,1510,0.8232834876871532,0.6697020921371546,0.5012146879598389,0.8457749017186601,1.8950975664564467,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\29_198_orig_197_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\198_orig_197.npy
30,746_orig_845.jpg,Neutral,1534,0.5023978511494825,0.5614866769779319,0.6450035224990752,0.6953730043787629,0.33182604590073644,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\30_746_orig_845_deepgaze_density.npy,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\746_orig_845.npy
