metric,n_images,mean,std,median,min,max,bootstrap_95CI_mean_low,bootstrap_95CI_mean_high
CC,60,0.5844999657465988,0.14722286013752317,0.573613762226525,0.25604503471656537,0.9375184470891168,0.5472419301786167,0.6203957254311729
SIM,60,0.5799961296933379,0.070891892549708,0.5779273207652162,0.435666937964376,0.7977301116463515,0.5619288786025588,0.5979636300020089
KL_empirical_to_prediction,60,0.6450001559406924,0.1902141690677238,0.6208855553435693,0.24122560662427323,1.361880655369904,0.597983454585387,0.6950201116383391
AUC_Judd,60,0.7370461314536897,0.08149472297671755,0.7449585751603724,0.47460641131432224,0.8708493059937114,0.7154408710770804,0.756740152493335
NSS,60,0.6326884329133092,0.4944347451025695,0.5432532300636361,-0.2325406365529584,1.9138013171885484,0.5069102241651965,0.7536928273485368
