world_index,world_timestamp,surface_name,event_type
0,-904558.9186719999,Surface 1,enter
23,-904558.146385,Surface 1,exit
27,-904558.0103249999,Surface 1,enter
27,-904558.0103249999,Surface 1,exit
29,-904557.946468,Surface 1,enter
29,-904557.946468,Surface 1,exit
31,-904557.8786569999,Surface 1,enter
31,-904557.8786569999,Surface 1,exit
34,-904557.7782869999,Surface 1,enter
34,-904557.7782869999,Surface 1,exit
40,-904557.497536,Surface 1,enter
645,-904511.1305369999,Surface 1,exit
651,-904510.9301059999,Surface 1,enter
1054,-904497.4264529999,Surface 1,exit
1067,-904496.990581,Surface 1,enter
26835,-903633.4571679999,Surface 1,exit
26838,-903633.3574219999,Surface 1,enter
26844,-903633.157226,Surface 1,exit
