"metric","model","term","estimate_log_scale","standard_error","z_value","p_value","ci_95_lower","ci_95_upper","rate_ratio","approximate_percent_change"
"fixation_count","Null","(Intercept)",3.79840537598152,0.0203317611378277,186.821266993664,0,3.75855585640911,3.83825489555394,44.6299597143178,4362.99597143178
"fixation_count","Original emotion","(Intercept)",3.79783351507683,0.0209339288509159,181.420006828325,0,3.75680376847411,3.83886326167955,44.604444881342,4360.4444881342
"fixation_count","Original emotion","original_emotionNegative",-0.00977985573581043,0.00881035056100008,-1.11004161163597,0.266981095766413,-0.0270478255265428,0.00748811405492199,0.990267811533729,-0.973218846627111
"fixation_count","Original emotion","original_emotionPositive",0.0113756429200033,0.00878630355191519,1.29470178816252,0.195423122864858,-0.00584519559898684,0.0285964814389934,1.01144059158991,1.14405915899098
"fixation_count","Reported emotion","(Intercept)",3.79313163550528,0.0208849005638152,181.620765869347,0,3.7521979825795,3.83406528843106,44.395212431515,4339.5212431515
"fixation_count","Reported emotion","response_emotionNegative",0.0187763300535481,0.0123824007314178,1.51637234659245,0.129425227421995,-0.00549272942217315,0.0430453895292693,1.01895371380467,1.89537138046709
"fixation_count","Reported emotion","response_emotionPositive",0.00545018245781325,0.00877718149840965,0.620949043699367,0.534633150892105,-0.011752777164841,0.0226531420804675,1.00546506172151,0.546506172151062
"fixation_count","Combined","(Intercept)",3.79368217962856,0.0214977459726234,176.46883466107,0,3.75154737177343,3.8358169874837,44.4196606841246,4341.96606841246
"fixation_count","Combined","original_emotionNegative",-0.00943619890667945,0.00881781585241076,-1.07012882380614,0.284561326553358,-0.0267188003997109,0.00784640258635199,0.990608182311852,-0.939181768814756
"fixation_count","Combined","original_emotionPositive",0.0106527835026387,0.00880411569544872,1.209977682159,0.22628745681244,-0.00660296617616457,0.027908533181442,1.01070972642138,1.0709726421384
"fixation_count","Combined","response_emotionNegative",0.0160440430531442,0.0124422335150504,1.28948255421641,0.19723037756811,-0.00834228652359172,0.0404303726298802,1.01617343980134,1.61734398013405
"fixation_count","Combined","response_emotionPositive",0.00420002061976494,0.0087944509939793,0.477576215120226,0.632951863022308,-0.013036786592237,0.0214368278317668,1.00420885306753,0.420885306752661
"dwell_time_s","Null","(Intercept)",-0.0534238530310263,0.0236933782286222,-2.25480100454772,0.0241458222070032,-0.0998620210312112,-0.00698568503084143,0.947978123916303,-5.20218760836971
"dwell_time_s","Original emotion","(Intercept)",-0.0507621496674795,0.0240177194984658,-2.11352912464159,0.0345555049158235,-0.0978360148752578,-0.00368828445970121,0.950504721512285,-4.94952784877152
"dwell_time_s","Original emotion","original_emotionNegative",-0.00781515021883354,0.006928403166889,-1.12798721878402,0.259325316989191,-0.0213945708963092,0.00576427045864216,0.992215308669061,-0.778469133093895
"dwell_time_s","Original emotion","original_emotionPositive",-0.000170340667730129,0.00694793209908425,-0.0245167432987119,0.980440428507978,-0.013788037348965,0.0134473560135048,0.999829673839418,-0.0170326160582324
"dwell_time_s","Reported emotion","(Intercept)",-0.059717884076375,0.0239678367423887,-2.49158423091058,0.0127174808657347,-0.106693980878793,-0.0127417872739573,0.942030257836237,-5.79697421637629
