type,participant,trial_index,filename,original_emotion,n_fixations,sim,cc,empirical_path,deepgaze_path,sim_rank,cc_rank,similarity_score
generalized_image,,1,906_orig_1037.jpg,Negativo,,0.6204617722329426,0.5939383289495015,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\906_orig_1037.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\01_906_orig_1037_deepgaze_density.npy,0.75,0.55,0.65
generalized_image,,2,1420_orig_1915.jpg,Negativo,,0.48212302094528214,0.4892310879458132,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\1420_orig_1915.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\02_1420_orig_1915_deepgaze_density.npy,0.08333333333333333,0.3333333333333333,0.20833333333333331
generalized_image,,3,790_orig_889.jpg,Neutral,,0.5542881042342842,0.47937045260782846,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\790_orig_889.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\03_790_orig_889_deepgaze_density.npy,0.4166666666666667,0.2833333333333333,0.35
generalized_image,,4,51_orig_50.jpg,Positivo,,0.578625852170924,0.5331734974919492,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\51_orig_50.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\04_51_orig_50_deepgaze_density.npy,0.5,0.4166666666666667,0.45833333333333337
generalized_image,,5,77_orig_76.jpg,Positivo,,0.5045857623380876,0.3261038014760766,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\77_orig_76.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\05_77_orig_76_deepgaze_density.npy,0.18333333333333332,0.05,0.11666666666666667
generalized_image,,6,1150_orig_1386.jpg,Negativo,,0.48668481206530856,0.4195520746880792,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\1150_orig_1386.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\06_1150_orig_1386_deepgaze_density.npy,0.11666666666666667,0.15,0.13333333333333333
generalized_image,,7,811_orig_910.jpg,Neutral,,0.48354879115545923,0.3893351177264503,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\811_orig_910.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\07_811_orig_910_deepgaze_density.npy,0.1,0.1,0.1
generalized_image,,8,859_orig_958.jpg,Neutral,,0.5487030756894014,0.5213970389600625,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\859_orig_958.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\08_859_orig_958_deepgaze_density.npy,0.38333333333333336,0.38333333333333336,0.38333333333333336
generalized_image,,9,584_orig_683.jpg,Negativo,,0.670591760179635,0.6694469656168393,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\584_orig_683.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\09_584_orig_683_deepgaze_density.npy,0.95,0.75,0.85
generalized_image,,10,91_orig_90.jpg,Positivo,,0.5232356176321947,0.4815681946797108,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\91_orig_90.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\10_91_orig_90_deepgaze_density.npy,0.25,0.3,0.275
generalized_image,,11,272_orig_271.jpg,Positivo,,0.44620310682474423,0.2629990219102099,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\272_orig_271.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\11_272_orig_271_deepgaze_density.npy,0.03333333333333333,0.016666666666666666,0.025
generalized_image,,12,796_orig_895.jpg,Negativo,,0.6528319807311085,0.6924309878191949,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\796_orig_895.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\12_796_orig_895_deepgaze_density.npy,0.9166666666666666,0.8166666666666667,0.8666666666666667
generalized_image,,13,41_orig_40.jpg,Negativo,,0.5740268133505575,0.5523765755119884,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\41_orig_40.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\13_41_orig_40_deepgaze_density.npy,0.48333333333333334,0.45,0.4666666666666667
generalized_image,,14,336_orig_435.jpg,Neutral,,0.6149529506666422,0.6363930247117405,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\336_orig_435.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\14_336_orig_435_deepgaze_density.npy,0.6833333333333333,0.65,0.6666666666666667
generalized_image,,15,361_orig_460.jpg,Negativo,,0.531222692537131,0.46802985497943317,C:\Users\Martin\Desktop\memoria\analisis_2\image_heatmaps\raw\361_orig_460.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\15_361_orig_460_deepgaze_density.npy,0.31666666666666665,0.23333333333333334,0.275
