world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf
79661.377492,16,0,79661.3747705,90.37550000357442,1.478348214814594,1.010482668876648,0.13647356629371643,1.010482668876648,0.13647356629371643,False
79661.41250399999,17,0,79661.3747705,90.37550000357442,1.478348214814594,1.012800693511963,0.14215464890003204,1.012800693511963,0.14215464890003204,False
79661.44867799999,18,0,79661.3747705,90.37550000357442,1.478348214814594,1.0152713060379028,0.14799946546554565,1.0152713060379028,0.14799946546554565,False
79662.28893099999,41,1,79662.27883,80.08300000801682,1.4911810234346485,0.60735684633255,0.3992973864078522,0.60735684633255,0.3992973864078522,True
79662.32374899999,42,1,79662.27883,80.08300000801682,1.4911810234346485,0.6082233786582947,0.3998826742172241,0.6082233786582947,0.3998826742172241,True
79662.35699399999,43,1,79662.27883,80.08300000801682,1.4911810234346485,0.6083789467811584,0.40048903226852417,0.6083789467811584,0.40048903226852417,True
79663.156571,66,2,79663.1668505,80.08299999346491,1.4674015955699422,0.6076898574829102,0.5531437397003174,0.6076898574829102,0.5531437397003174,True
79663.189439,67,2,79663.1668505,80.08299999346491,1.4674015955699422,0.6061689853668213,0.551552951335907,0.6061689853668213,0.551552951335907,True
79663.22198799999,68,2,79663.1668505,80.08299999346491,1.4674015955699422,0.6045913696289062,0.5503543019294739,0.6045913696289062,0.5503543019294739,True
79663.25407299999,69,2,79663.1668505,80.08299999346491,1.4674015955699422,0.6037300825119019,0.5500090718269348,0.6037300825119019,0.5500090718269348,True
79663.38623999999,73,3,79663.380878,217.9220000107307,1.3882619846577364,0.41947758197784424,0.39452797174453735,0.41947758197784424,0.39452797174453735,True
79663.41754299999,74,3,79663.380878,217.9220000107307,1.3882619846577364,0.41937533020973206,0.3926568627357483,0.41937533020973206,0.3926568627357483,True
79663.453627,75,3,79663.380878,217.9220000107307,1.3882619846577364,0.41959381103515625,0.3914535939693451,0.41959381103515625,0.3914535939693451,True
79663.486062,76,3,79663.380878,217.9220000107307,1.3882619846577364,0.4201827645301819,0.3906781077384949,0.4201827645301819,0.3906781077384949,True
79663.517612,77,3,79663.380878,217.9220000107307,1.3882619846577364,0.42049387097358704,0.3898409307003021,0.42049387097358704,0.3898409307003021,True
79663.55350699999,78,3,79663.380878,217.9220000107307,1.3882619846577364,0.4203430116176605,0.38933366537094116,0.4203430116176605,0.38933366537094116,True
79663.58546799999,79,3,79663.380878,217.9220000107307,1.3882619846577364,0.4199247658252716,0.38957011699676514,0.4199247658252716,0.38957011699676514,True
79663.62153599999,80,4,79663.634886,160.2615000010701,1.4095405953886642,0.4314422607421875,0.5207453966140747,0.4314422607421875,0.5207453966140747,True
79663.65722899999,81,4,79663.634886,160.2615000010701,1.4095405953886642,0.43137985467910767,0.5222996473312378,0.43137985467910767,0.5222996473312378,True
79663.68794399999,82,4,79663.634886,160.2615000010701,1.4095405953886642,0.43158644437789917,0.5237199068069458,0.43158644437789917,0.5237199068069458,True
79663.721496,83,4,79663.634886,160.2615000010701,1.4095405953886642,0.4322650134563446,0.5246964693069458,0.4322650134563446,0.5246964693069458,True
79663.75347099999,84,4,79663.634886,160.2615000010701,1.4095405953886642,0.4328833222389221,0.5249457359313965,0.4328833222389221,0.5249457359313965,True
79663.785481,85,4,79663.634886,160.2615000010701,1.4095405953886642,0.43312448263168335,0.5245917439460754,0.43312448263168335,0.5245917439460754,True
79663.785481,85,5,79663.798804,214.00599999469705,1.3566093390749845,0.42824500799179077,0.5247650146484375,0.42824500799179077,0.5247650146484375,True
79663.821575,86,5,79663.798804,214.00599999469705,1.3566093390749845,0.4284049868583679,0.5243083238601685,0.4284049868583679,0.5243083238601685,True
79663.853636,87,5,79663.798804,214.00599999469705,1.3566093390749845,0.42863187193870544,0.5240783095359802,0.42863187193870544,0.5240783095359802,True
79663.889659,88,5,79663.798804,214.00599999469705,1.3566093390749845,0.42906057834625244,0.5243135690689087,0.42906057834625244,0.5243135690689087,True
79663.921844,89,5,79663.798804,214.00599999469705,1.3566093390749845,0.42961984872817993,0.5250489711761475,0.42961984872817993,0.5250489711761475,True
