metric,model,term,estimate_log1p_scale,standard_error,z_value,p_value,ci_95_lower,ci_95_upper,approx_percent_change
dwell_time_s,Null,Intercept,2.1197361832376367,0.019328911532488165,109.66660899010117,0.0,2.08185151663396,2.1576208498413134,732.8939883863995
dwell_time_s,Original emotion,Intercept,2.1223019805703984,0.019582342260302015,108.3783519029182,0.0,2.0839205897402064,2.1606833714005904,735.0337695087184
dwell_time_s,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.005135443220800615,0.005430765689358728,-0.9456204731614953,0.34434219809228517,-0.015779743971943722,0.005508857530342492,-0.5122279375963054
dwell_time_s,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0025246196654003274,0.005444255388701481,-0.4637217553459554,0.6428471083685172,-0.01319536022725523,0.008146120896454575,-0.25214354933443156
dwell_time_s,Reported emotion,Intercept,2.121048884712677,0.019528702630795036,108.61186863319689,0.0,2.0827726275563188,2.159325141869035,733.9880474828959
dwell_time_s,Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.002118876072200072,0.008215367459410523,-0.2579161653655487,0.7964716086790944,-0.018220996292644696,0.013983244148244554,-0.21166328389528702
dwell_time_s,Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.002808774778843987,0.005465222741150555,-0.513936011737497,0.6072967288237123,-0.013520611351499075,0.0079030617938111,-0.28048338615446944
dwell_time_s,Combined,Intercept,2.1237093763120845,0.01978185849353493,107.35641330192261,0.0,2.084936933664756,2.162481818959413,736.2098198701012
dwell_time_s,Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.005230021951676514,0.005433140480709184,-0.9626148946904909,0.33574081998199234,-0.015878977293866513,0.005418933390513486,-0.5216369198638237
dwell_time_s,Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0024509902398944534,0.005452336474231025,-0.4495302612886031,0.6530491833057921,-0.01313756972938726,0.008235589249598354,-0.24479890158074746
dwell_time_s,Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.0023261309161084222,0.008240829516567549,-0.2822690253974938,0.7777372344219049,-0.018478156768580816,0.013825894936363973,-0.23234275701074775
dwell_time_s,Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.002975953299849654,0.00547042083862241,-0.5440081097305621,0.586435892209836,-0.013697978143549578,0.007746071543850271,-0.29715295402169695
fixation_count,Null,Intercept,3.8190790609017626,0.019853894886986287,192.3591860761321,0.0,3.7801654269232694,3.857992694880256,4456.222895554832
fixation_count,Original emotion,Intercept,3.819904600168851,0.020111025497684065,189.94081632529088,0.0,3.78048699019339,3.8593222101443114,4459.98578945935
fixation_count,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.010175814800490901,0.005681584932056684,-1.7910169296382135,0.07329057829822468,-0.021311721267322004,0.0009600916663401998,-1.01242163640873
fixation_count,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",0.007813608619230266,0.005695697127325128,1.371844121019787,0.17011196884940416,-0.003349957750326985,0.018977174988787517,0.7844214521305969
fixation_count,Reported emotion,Intercept,3.818594372406979,0.01997828838012862,191.13721354653882,0.0,3.779436927181927,3.8577518176320313,4454.015081831863
fixation_count,Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",0.011289910184726182,0.008608830258556648,1.3114337076752913,0.18971127691893108,-0.005583397122044847,0.028163217491497212,1.1353881738412102
fixation_count,Reported emotion,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0020874854504092447,0.005726901430414653,-0.36450521731052415,0.7154807785395124,-0.013312212254021965,0.009137241353203476,-0.20853081679350827
fixation_count,Combined,Intercept,3.8201034063921595,0.020252492747701526,188.6238624539543,0.0,3.7804085206066644,3.8597982921776546,4460.89243313271
fixation_count,Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",-0.010167802991420371,0.005681809823571767,-1.7895359589893078,0.07352854171979525,-0.02130415024562103,0.0009685442627802906,-1.0116285636535574
fixation_count,Combined,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",0.007443420589764648,0.005701883665632022,1.3054318583575637,0.1917458361137091,-0.003732271394874115,0.01861911257440341,0.7471191706074357
fixation_count,Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Negative]",0.009223800641008285,0.008617259035058755,1.0703868368679479,0.2844452217864075,-0.007666027067706874,0.026113628349723444,0.9266470983480475
fixation_count,Combined,"C(response_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.0029490779298996304,0.005720239010192666,-0.5155515223480672,0.6061676760037458,-0.014160746389877257,0.008262590530077996,-0.2944733671149821
mean_fixation_duration_ms,Null,Intercept,5.106844957906631,0.011904503894538941,428.98427377971956,0.0,5.083512130273335,5.130177785539927,16414.848162941274
mean_fixation_duration_ms,Original emotion,Intercept,5.109035708945117,0.01208934152737692,422.60661570156236,0.0,5.085340599551459,5.132730818338776,16451.067743260286
mean_fixation_duration_ms,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Negative]",0.004313623055364698,0.0036392939680390322,1.1852911837427125,0.2359023380695492,-0.0028193931219918054,0.011446639232721201,0.4322940119246673
mean_fixation_duration_ms,Original emotion,"C(original_emotion, Treatment(reference='Neutral'))[T.Positive]",-0.010956061573366727,0.0036483321746228637,-3.0030329062619634,0.0026730352718559824,-0.01810679263562754,-0.0038053305111059145,-1.0896262517389828
