metric,model,predictor,comparison,estimate_log1p_scale,standard_error,z_value,p_value_raw,ci_95_lower,ci_95_upper,approx_percent_difference,p_value_bonferroni,significant_bonferroni_0_05
mean_fixation_duration_ms,Original emotion,original_emotion,Negative vs Positive,0.015269684628731425,0.0036442021672618845,4.190131043197444,2.7879339863695338e-05,0.00812704838089813,0.02241232087656472,1.5386861923473498,8.363801959108601e-05,True
mean_fixation_duration_ms,Reported emotion,response_emotion,Negative vs Neutral,-0.014111593676715384,0.005518315286441523,-2.557228600436715,0.010550985458812086,-0.024927491638140765,-0.0032956957152900004,-1.4012491847921122,0.03165295637643626,True
mean_fixation_duration_ms,Reported emotion,response_emotion,Positive vs Neutral,-0.00119963622336839,0.003670845958778205,-0.32680102538753053,0.7438183838334782,-0.008394494302573672,0.005995221855836892,-0.11989169474860668,1.0,False
mean_fixation_duration_ms,Reported emotion,response_emotion,Negative vs Positive,-0.012911957453346994,0.0052900450150048,-2.4408029452912468,0.014654648757222277,-0.0232804456827564,-0.002543469223937587,-1.2828955752905762,0.04396394627166683,True
mean_fixation_duration_ms,Combined,original_emotion,Negative vs Neutral,0.0041923919732384,0.0036364571470000407,1.1528781458890522,0.24896040330080837,-0.0029350640348816794,0.011319847981358478,0.42011923423682307,0.7468812099024251,False
mean_fixation_duration_ms,Combined,original_emotion,Positive vs Neutral,-0.010487607314022828,0.0036493032626719202,-2.87386565575372,0.004054814013450243,-0.01764024170885979,-0.003334972919185865,-1.043280411257672,0.012164442040350729,True
mean_fixation_duration_ms,Combined,original_emotion,Negative vs Positive,0.014679999287261228,0.003651467967897911,4.02030071640263,5.8123899636113244e-05,0.007523122070181323,0.021836876504341133,1.4788279680008476,0.00017437169890833972,True
mean_fixation_duration_ms,Combined,response_emotion,Negative vs Neutral,-0.012253606725304704,0.005513669694618667,-2.2224049324652517,0.02625595230327655,-0.02306039932675729,-0.0014468141238521172,-1.217883699762701,0.07876785690982965,False
mean_fixation_duration_ms,Combined,response_emotion,Positive vs Neutral,-0.0005215713409553354,0.0036599107313492777,-0.14250930671280357,0.886677728705831,-0.00769499637439992,0.006651853692489249,-0.05214353462681539,1.0,False
mean_fixation_duration_ms,Combined,response_emotion,Negative vs Positive,-0.011732035384349368,0.005276089967126697,-2.2236230726631283,0.026173814874105333,-0.022073171719917694,-0.0013908990487810427,-1.1663483403866244,0.078521444622316,False
fixation_density_per_megapixel,Original emotion,original_emotion,Negative vs Neutral,-0.012684330860402007,0.03182059029951966,-0.39862022486092846,0.690173056918516,-0.07505268784746055,0.04968402612665653,-1.2604223794935243,1.0,False
fixation_density_per_megapixel,Original emotion,original_emotion,Positive vs Neutral,0.2105841292075586,0.03189926215455341,6.6015360539459715,4.0691927420158177e-11,0.1480615753846339,0.27310668303048324,23.43988978550271,1.2207578226047454e-10,True
fixation_density_per_megapixel,Original emotion,original_emotion,Negative vs Positive,-0.22326846006796058,0.031851724015471816,-7.009619321061209,2.389674187360818e-12,-0.28569783913828534,-0.16083908099763583,-20.009992076238177,7.1690225620824535e-12,True
fixation_density_per_megapixel,Reported emotion,response_emotion,Negative vs Neutral,0.42525299388011795,0.04527216682642101,9.393254701295602,5.817424892270263e-21,0.33651954690033276,0.5139864408599031,52.997744563417726,1.745227467681079e-20,True
fixation_density_per_megapixel,Reported emotion,response_emotion,Positive vs Neutral,0.11686728204966015,0.02990931895468398,3.9073869327057356,9.329967784398502e-05,0.05824501689847956,0.17548954720084076,12.39702487636035,0.00027989903353195506,True
fixation_density_per_megapixel,Reported emotion,response_emotion,Negative vs Positive,0.3083857118304578,0.04492480277016266,6.864486715905536,6.673074965460769e-12,0.220333098400939,0.39643832525997663,36.122592863751706,2.0019224896382307e-11,True
fixation_density_per_megapixel,Combined,original_emotion,Negative vs Neutral,-0.006443198771438622,0.03126225808850671,-0.20610151554623005,0.8367116149519399,-0.06771722462491177,0.05483082708203453,-0.6422485875877852,1.0,False
fixation_density_per_megapixel,Combined,original_emotion,Positive vs Neutral,0.19560069469848113,0.031371425002081725,6.234995531299632,4.5179098861139724e-10,0.13411270169440095,0.2570886877025613,21.60412366630666,1.3553729658341917e-09,True
fixation_density_per_megapixel,Combined,original_emotion,Negative vs Positive,-0.20204389346991974,0.0313709591928494,-6.440475480136834,1.1909979626363794e-10,-0.26353097348790455,-0.14055681345193494,-18.294093640229356,3.572993887909138e-10,True
fixation_density_per_megapixel,Combined,response_emotion,Negative vs Neutral,0.40059559404199746,0.04482559589872449,8.936760036544129,4.0074734592023937e-19,0.3127374260804975,0.48845376200349744,49.271348419460466,1.202242037760718e-18,True
fixation_density_per_megapixel,Combined,response_emotion,Positive vs Neutral,0.10961674669808241,0.02955166464431817,3.7093256172679996,0.0002078120288960215,0.0516954839952188,0.16753800940094604,11.585033517322561,0.0006234360866880645,True
fixation_density_per_megapixel,Combined,response_emotion,Negative vs Positive,0.29097884734391505,0.04441898537130173,6.550776540967796,5.7238654578813565e-11,0.20391763601616367,0.37804005867166646,33.77362869751474,1.717159637364407e-10,True
