metric,model,predictor,comparison,estimate_log1p_scale,standard_error,z_value,p_value_raw,ci_95_lower,ci_95_upper,approx_percent_difference,p_value_bonferroni,significant_bonferroni_0_05
dwell_time_s,Original emotion,original_emotion,Negative vs Neutral,-0.005135443220800615,0.005430765689358728,-0.9456204731614953,0.34434219809228517,-0.015779743971943722,0.005508857530342492,-0.5122279375963054,1.0,False
dwell_time_s,Original emotion,original_emotion,Positive vs Neutral,-0.0025246196654003274,0.005444255388701481,-0.4637217553459554,0.6428471083685172,-0.01319536022725523,0.008146120896454575,-0.25214354933443156,1.0,False
dwell_time_s,Original emotion,original_emotion,Negative vs Positive,-0.0026108235554002874,0.0054381101809210936,-0.48009758326707397,0.6311580066062317,-0.013269519510005632,0.008047872399205055,-0.2607418319716066,1.0,False
dwell_time_s,Reported emotion,response_emotion,Negative vs Neutral,-0.002118876072200072,0.008215367459410523,-0.2579161653655487,0.7964716086790944,-0.018220996292644696,0.013983244148244554,-0.21166328389528702,1.0,False
dwell_time_s,Reported emotion,response_emotion,Positive vs Neutral,-0.002808774778843987,0.005465222741150555,-0.513936011737497,0.6072967288237123,-0.013520611351499075,0.0079030617938111,-0.28048338615446944,1.0,False
dwell_time_s,Reported emotion,response_emotion,Negative vs Positive,0.0006898987066439152,0.00787360156138927,0.08762174479682269,0.9301773188011573,-0.014742360353679053,0.016122157766966884,0.06901367414934607,1.0,False
dwell_time_s,Combined,original_emotion,Negative vs Neutral,-0.005230021951676514,0.005433140480709184,-0.9626148946904909,0.33574081998199234,-0.015878977293866513,0.005418933390513486,-0.5216369198638237,1.0,False
dwell_time_s,Combined,original_emotion,Positive vs Neutral,-0.0024509902398944534,0.005452336474231025,-0.4495302612886031,0.6530491833057921,-0.01313756972938726,0.008235589249598354,-0.24479890158074746,1.0,False
dwell_time_s,Combined,original_emotion,Negative vs Positive,-0.0027790317117820608,0.0054555975622981355,-0.5093908925737205,0.6104782588255828,-0.013472002933886406,0.007913939510322286,-0.2775173777755665,1.0,False
dwell_time_s,Combined,response_emotion,Negative vs Neutral,-0.0023261309161084222,0.008240829516567549,-0.2822690253974938,0.7777372344219049,-0.018478156768580816,0.013825894936363973,-0.23234275701074775,1.0,False
dwell_time_s,Combined,response_emotion,Positive vs Neutral,-0.002975953299849654,0.00547042083862241,-0.5440081097305621,0.586435892209836,-0.013697978143549578,0.007746071543850271,-0.29715295402169695,1.0,False
dwell_time_s,Combined,response_emotion,Negative vs Positive,0.0006498223837412319,0.007883894643889576,0.08242403191484525,0.9343095263618229,-0.014802611118282336,0.0161022558857648,0.06500335640471903,1.0,False
fixation_count,Original emotion,original_emotion,Negative vs Neutral,-0.010175814800490901,0.005681584932056684,-1.7910169296382135,0.07329057829822468,-0.021311721267322004,0.0009600916663401998,-1.01242163640873,0.21987173489467404,False
fixation_count,Original emotion,original_emotion,Positive vs Neutral,0.007813608619230266,0.005695697127325128,1.371844121019787,0.17011196884940416,-0.003349957750326985,0.018977174988787517,0.7844214521305969,0.5103359065482125,False
fixation_count,Original emotion,original_emotion,Negative vs Positive,-0.017989423419721165,0.005689264163802926,-3.1619947504241623,0.0015669238907110355,-0.029140381180774902,-0.00683846565866743,-1.7828579681759351,0.004700771672133106,True
fixation_count,Reported emotion,response_emotion,Negative vs Neutral,0.011289910184726182,0.008608830258556648,1.3114337076752913,0.18971127691893108,-0.005583397122044847,0.028163217491497212,1.1353881738412102,0.5691338307567932,False
fixation_count,Reported emotion,response_emotion,Positive vs Neutral,-0.0020874854504092447,0.005726901430414653,-0.36450521731052415,0.7154807785395124,-0.013312212254021965,0.009137241353203476,-0.20853081679350827,1.0,False
fixation_count,Reported emotion,response_emotion,Negative vs Positive,0.013377395635135427,0.008251203719043365,1.6212659498711768,0.10496061423059207,-0.002794963654189568,0.029549754924460422,1.346727332140412,0.3148818426917762,False
fixation_count,Combined,original_emotion,Negative vs Neutral,-0.010167802991420371,0.005681809823571767,-1.7895359589893078,0.07352854171979525,-0.02130415024562103,0.0009685442627802906,-1.0116285636535574,0.22058562515938576,False
fixation_count,Combined,original_emotion,Positive vs Neutral,0.007443420589764648,0.005701883665632022,1.3054318583575637,0.1917458361137091,-0.003732271394874115,0.01861911257440341,0.7471191706074357,0.5752375083411273,False
fixation_count,Combined,original_emotion,Negative vs Positive,-0.01761122358118502,0.005705287312981966,-3.0868250124953325,0.002023066509237207,-0.02879358671462967,-0.006428860447740367,-1.745705235782167,0.006069199527711622,True
fixation_count,Combined,response_emotion,Negative vs Neutral,0.009223800641008285,0.008617259035058755,1.0703868368679479,0.2844452217864075,-0.007666027067706874,0.026113628349723444,0.9266470983480475,0.8533356653592226,False
fixation_count,Combined,response_emotion,Positive vs Neutral,-0.0029490779298996304,0.005720239010192666,-0.5155515223480672,0.6061676760037458,-0.014160746389877257,0.008262590530077996,-0.2944733671149821,1.0,False
fixation_count,Combined,response_emotion,Negative vs Positive,0.012172878570907916,0.008244478776299422,1.4764885569117538,0.13981278493538002,-0.003986299830638949,0.02833205697245478,1.2247269601806385,0.41943835480614006,False
mean_fixation_duration_ms,Original emotion,original_emotion,Negative vs Neutral,0.004313623055364698,0.0036392939680390322,1.1852911837427125,0.2359023380695492,-0.0028193931219918054,0.011446639232721201,0.4322940119246673,0.7077070142086476,False
mean_fixation_duration_ms,Original emotion,original_emotion,Positive vs Neutral,-0.010956061573366727,0.0036483321746228637,-3.0030329062619634,0.0026730352718559824,-0.01810679263562754,-0.0038053305111059145,-1.0896262517389828,0.008019105815567947,True
