world_index,world_timestamp,surface_name,event_type
0,607195.3689440001,Surface 1,enter
93,607198.5933150001,Surface 1,exit
498,607212.9768970001,Surface 1,enter
764,607223.6647620001,Surface 1,exit
1214,607238.8547100001,Surface 1,enter
4366,607345.5330980001,Surface 1,exit
4418,607347.276895,Surface 1,enter
4418,607347.276895,Surface 1,exit
4422,607347.408791,Surface 1,enter
4440,607348.0130090001,Surface 1,exit
4458,607348.616779,Surface 1,enter
4471,607349.0528950001,Surface 1,exit
4476,607349.221015,Surface 1,enter
4484,607349.488932,Surface 1,exit
4486,607349.5568840001,Surface 1,enter
4633,607354.480955,Surface 1,exit
4642,607354.7809390001,Surface 1,enter
4655,607355.216798,Surface 1,exit
4657,607355.28509,Surface 1,enter
4702,607356.792754,Surface 1,exit
4704,607356.8609480001,Surface 1,enter
4901,607363.4608860001,Surface 1,exit
4905,607363.5971230001,Surface 1,enter
4909,607363.7295260001,Surface 1,exit
4913,607363.865169,Surface 1,enter
4914,607363.896885,Surface 1,exit
4918,607364.0326970001,Surface 1,enter
4937,607364.66902,Surface 1,exit
4945,607364.9368210001,Surface 1,enter
4945,607364.9368210001,Surface 1,exit
4948,607365.0372520001,Surface 1,enter
4949,607365.068846,Surface 1,exit
4954,607365.2368900001,Surface 1,enter
4954,607365.2368900001,Surface 1,exit
4956,607365.3048830001,Surface 1,enter
4957,607365.336934,Surface 1,exit
4959,607365.4049300001,Surface 1,enter
4962,607365.505123,Surface 1,exit
4971,607365.808938,Surface 1,enter
4981,607366.1409550001,Surface 1,exit
4983,607366.2087620001,Surface 1,enter
5012,607367.1809350001,Surface 1,exit
5014,607367.2488610001,Surface 1,enter
5058,607368.7248640001,Surface 1,exit
5119,607370.76872,Surface 1,enter
6258,607409.0644360001,Surface 1,exit
6695,607424.390662,Surface 1,enter
6815,607429.509196,Surface 1,exit
7114,607440.262292,Surface 1,enter
7578,607456.5888210001,Surface 1,exit
7617,607457.8499250001,Surface 1,enter
8434,607487.56585,Surface 1,exit
8470,607488.7318470001,Surface 1,enter
35228,608386.000267,Surface 1,exit
