reduced_model,full_model,log_likelihood_reduced,log_likelihood_full,lr_statistic,df_difference,p_value,significant_0_05
Null,Original emotion,1733.013246042652,1733.460301770101,0.8941114548979385,2,0.6395082691173379,False
Null,Reported emotion,1733.013246042652,1733.1470492265898,0.2676063678754872,2,0.8747622149163555,False
Original emotion,Combined,1733.460301770101,1733.6108353485297,0.3010671568572434,2,0.860248843718042,False
Reported emotion,Combined,1733.1470492265898,1733.6108353485297,0.9275722438796947,2,0.6288980475784727,False
