type,participant,trial_index,filename,original_emotion,n_fixations,sim,cc,empirical_path,deepgaze_path,sim_rank,cc_rank,similarity_score
generalized_image,,20,1134_orig_1370.jpg,Positivo,,0.7282209389193913,0.8584714741128856,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1134_orig_1370.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\20_1134_orig_1370_deepgaze_density.npy,0.9833333333333333,0.9833333333333333,0.9833333333333333
generalized_image,,21,324_orig_423.jpg,Negativo,,0.5423402298000423,0.5017418113219804,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\324_orig_423.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\21_324_orig_423_deepgaze_density.npy,0.3333333333333333,0.3,0.31666666666666665
generalized_image,,22,33_orig_32.jpg,Positivo,,0.5196105628974983,0.36862221876725704,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\33_orig_32.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\22_33_orig_32_deepgaze_density.npy,0.18333333333333332,0.08333333333333333,0.13333333333333333
generalized_image,,23,873_orig_972.jpg,Neutral,,0.5865858496355012,0.4703859838175347,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\873_orig_972.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\23_873_orig_972_deepgaze_density.npy,0.55,0.18333333333333332,0.3666666666666667
generalized_image,,24,1322_orig_1659.jpg,Negativo,,0.435666937964376,0.3934047201417525,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\1322_orig_1659.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\24_1322_orig_1659_deepgaze_density.npy,0.016666666666666666,0.11666666666666667,0.06666666666666667
generalized_image,,25,130_orig_129.jpg,Neutral,,0.5623654150286879,0.5714962315485677,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\130_orig_129.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\25_130_orig_129_deepgaze_density.npy,0.4166666666666667,0.5,0.45833333333333337
generalized_image,,26,184_orig_183.jpg,Negativo,,0.4623713205993575,0.2995670959817989,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\184_orig_183.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\26_184_orig_183_deepgaze_density.npy,0.05,0.03333333333333333,0.04166666666666667
generalized_image,,27,105_orig_104.jpg,Positivo,,0.5983216584348605,0.477356076804816,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\105_orig_104.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\27_105_orig_104_deepgaze_density.npy,0.6,0.21666666666666667,0.4083333333333333
generalized_image,,28,262_orig_261.jpg,Neutral,,0.6298950231016524,0.5010334436590324,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\262_orig_261.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\28_262_orig_261_deepgaze_density.npy,0.7666666666666667,0.26666666666666666,0.5166666666666667
generalized_image,,29,198_orig_197.jpg,Negativo,,0.6697020921371546,0.8232834876871532,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\198_orig_197.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\29_198_orig_197_deepgaze_density.npy,0.9166666666666666,0.95,0.9333333333333333
generalized_image,,30,746_orig_845.jpg,Neutral,,0.5614866769779319,0.5023978511494824,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\746_orig_845.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\30_746_orig_845_deepgaze_density.npy,0.4,0.31666666666666665,0.35833333333333334
generalized_image,,31,82_orig_81.jpg,Positivo,,0.6367233602278193,0.7598105348049378,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\82_orig_81.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\31_82_orig_81_deepgaze_density.npy,0.8166666666666667,0.8666666666666667,0.8416666666666667
generalized_image,,32,292_orig_291.jpg,Negativo,,0.6512772850847558,0.7785704793210632,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\292_orig_291.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\32_292_orig_291_deepgaze_density.npy,0.8666666666666667,0.9,0.8833333333333333
generalized_image,,33,916_orig_1094.jpg,Negativo,,0.5056362669988034,0.5074475668035021,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\916_orig_1094.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\33_916_orig_1094_deepgaze_density.npy,0.15,0.35,0.25
generalized_image,,34,251_orig_250.jpg,Negativo,,0.5520745452861328,0.6671128019807236,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\251_orig_250.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\34_251_orig_250_deepgaze_density.npy,0.36666666666666664,0.7,0.5333333333333333
generalized_image,,35,573_orig_672.jpg,Neutral,,0.6439179573413261,0.8342555118400259,C:\Users\Martin\Desktop\memoria\image_heatmaps\raw\573_orig_672.npy,C:\Users\Martin\Desktop\memoria\deepgaze_predictions\raw\35_573_orig_672_deepgaze_density.npy,0.85,0.9666666666666667,0.9083333333333333
