world_index,world_timestamp,surface_name,event_type
0,665697.3058590001,Surface 1,enter
107,665703.26425,Surface 1,exit
110,665703.5007730001,Surface 1,enter
116,665703.993259,Surface 1,exit
118,665704.141638,Surface 1,enter
125,665704.690145,Surface 1,exit
129,665704.964959,Surface 1,enter
143,665706.1516300001,Surface 1,exit
148,665706.539082,Surface 1,enter
175,665708.869807,Surface 1,exit
181,665709.346309,Surface 1,enter
182,665709.4346390001,Surface 1,exit
185,665709.6860250001,Surface 1,enter
186,665709.769172,Surface 1,exit
195,665710.5013260001,Surface 1,enter
196,665710.5982560001,Surface 1,exit
212,665711.8768940001,Surface 1,enter
214,665712.03891,Surface 1,exit
218,665712.362052,Surface 1,enter
333,665720.9542960001,Surface 1,exit
342,665721.250098,Surface 1,enter
501,665726.5776130001,Surface 1,exit
509,665726.845677,Surface 1,enter
645,665731.616809,Surface 1,exit
657,665732.044451,Surface 1,enter
27984,666656.0149150001,Surface 1,exit
