fold,n_train,n_val,best_epoch,best_val_loss,accuracy,macro_precision,macro_recall,macro_f1
1,40,20,1,1.1692798932393391,0.2,0.22261904761904763,0.1984126984126984,0.20683760683760685
2,40,20,8,1.1318791309992473,0.25,0.2518518518518518,0.25396825396825395,0.25
3,40,20,8,1.1109363635381062,0.35,0.373015873015873,0.34920634920634924,0.34877622377622375
