number,value,params_batch_size,params_brightness,params_color_jitter,params_contrast,params_dropout_p,params_freeze_backbone,params_horizontal_flip_p,params_lr,params_n_splits,params_optimizer,params_rotation_degrees,params_saturation,params_weight_decay,user_attrs_mean_accuracy,user_attrs_mean_best_epoch,user_attrs_mean_best_val_loss,user_attrs_mean_macro_f1,user_attrs_mean_macro_precision,user_attrs_mean_macro_recall,user_attrs_std_accuracy,user_attrs_std_macro_f1,user_attrs_std_macro_precision,user_attrs_std_macro_recall,state
0,0.2782347282347282,4,0.045851127463358454,True,0.07606056073988443,0.12904180608409974,True,0.48495492608099716,1.981150700813797e-05,5,AdamW,13,0.10495128632644757,3.7758875456826846e-06,0.3,4.2,1.1092852036158245,0.2782347282347282,0.2911111111111111,0.3,0.1728036779443977,0.18325101221745235,0.2143131963564705,0.1728036779443977,COMPLETE
1,0.24735264735264736,8,0.2372213843133333,True,0.24140800826863984,0.32803499210851794,True,0.023225206359998862,3.5973074355814775e-05,5,Adam,9,0.16167946962329224,2.265486450485178e-05,0.3,3.8,1.1153134942054748,0.24735264735264736,0.2333862433862434,0.3,0.12638125740085918,0.1538019867207624,0.18969399119019242,0.12638125740085918,COMPLETE
2,0.4252164502164502,8,0.19378320584027864,False,0.23487473539104728,0.1171942605576092,True,0.2600340105889054,1.7070637605872354e-05,4,AdamW,8,0.17896547008552977,6.786479434196529e-05,0.44999999999999996,7.5,1.0876759365200996,0.4252164502164502,0.4414021164021164,0.45,0.09999999999999998,0.1242529815651141,0.13250324246394302,0.09999999999999996,COMPLETE
3,0.3405643738977073,4,0.24672173415012932,True,0.19306119232416435,0.29433864484474104,False,0.27134804157912423,1.2191905861905936e-05,6,AdamW,2,0.03974313630683449,1.5973023661305582e-05,0.3833333333333333,5.333333333333333,1.1084798839357166,0.3405643738977073,0.34074074074074073,0.3888888888888889,0.13291601358251257,0.13514843997512907,0.18874722356445983,0.1314684396244359,COMPLETE
4,0.24865011531678197,4,0.15938936783880328,False,0.22180318564408164,0.27923286427213634,False,0.03177917514301182,0.0002936275990998268,3,AdamW,4,0.09444298503238986,1.878836314623419e-06,0.26666666666666666,1.6666666666666667,1.1271362384160362,0.24865011531678197,0.25885040885040883,0.25925925925925924,0.17559422921421233,0.15183647174463252,0.15522323551082512,0.17101900908882522,COMPLETE
5,0.22591181321831477,8,0.062323057287218736,False,0.10259573075890743,0.36136641469099706,True,0.3182052056318902,0.0002932377783221689,3,AdamW,5,0.15111022770860974,6.707104906311695e-05,0.2833333333333333,1.3333333333333333,1.1322137514750164,0.22591181321831477,0.18974358974358974,0.291005291005291,0.05773502691896256,0.05571279722990921,0.047564697702483866,0.05850091107803171,COMPLETE
6,0.38919090169090165,8,0.02751298113191919,True,0.05698379063548542,0.41670187825521177,True,0.26967112095782536,0.0005878930054101001,4,Adam,12,0.08542155772525127,0.0009754680378833336,0.4,2.5,1.0861013233661652,0.38919090169090165,0.40813492063492063,0.39999999999999997,0.19626135258506328,0.18668026456368692,0.18943983387681707,0.19626135258506325,COMPLETE
7,0.22588813303099017,4,0.06294557395634104,True,0.12431212647309636,0.1599326836668414,False,0.3515094794475889,6.228316885164778e-05,7,Adam,5,0.06017566196335394,6.630864123680927e-06,0.23412698412698413,2.7142857142857144,1.1290761998721532,0.22588813303099017,0.24841269841269842,0.23809523809523808,0.09769349120885065,0.11708707288195576,0.17721886348013927,0.104990131391452,COMPLETE
8,0.37781986531986533,8,0.1820540871529649,True,0.0919457831798133,0.5541329429833268,True,0.1210276357557502,1.253050851760497e-05,4,Adam,10,0.1264611661187159,1.0732599242723978e-05,0.3833333333333334,5.5,1.094552755355835,0.37781986531986533,0.381547619047619,0.3833333333333333,0.1261979632400061,0.12443741561123253,0.126979786632172,0.12619796324000604,COMPLETE
9,0.38258377425044093,12,0.09668383657513435,False,0.23418249718418363,0.12038757077738196,False,0.11324788759896898,4.0782451621555166e-05,6,Adam,10,0.027504188829198653,4.896957955177836e-06,0.4166666666666667,6.333333333333333,1.078131377696991,0.38258377425044093,0.3731481481481482,0.4212962962962963,0.0983192080250175,0.10236384974888554,0.12354919381437125,0.10155681172737971,COMPLETE
10,0.3265873015873016,12,0.11867212923858318,False,0.0051256803197448075,0.5812181096282867,True,0.475382597007194,9.679910472779373e-05,8,AdamW,15,0.1831275941557748,0.0028087559799886176,0.3861607142857143,4.875,1.0949872732162476,0.3265873015873016,0.3320436507936507,0.3680555555555555,0.19325768590994075,0.17894166708008263,0.20456974649037996,0.1729949382995025,COMPLETE
