class_or_average,precision,recall,f1-score,support
Negative,0.2,0.2,0.2,20.0
Neutral,0.4,0.3,0.34285714285714286,20.0
Positive,0.24,0.3,0.26666666666666666,20.0
accuracy,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
macro avg,0.28,0.26666666666666666,0.2698412698412698,60.0
weighted avg,0.28,0.26666666666666666,0.2698412698412698,60.0
